id,baseline_prediction,mismatches,challenger_preds
23844,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21359,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19612,Extrovert,5,"['Extrovert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
23418,Extrovert,5,"['Introvert', 'Extrovert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
23336,Extrovert,5,"['Introvert', 'Extrovert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
22286,Extrovert,4,"['Introvert', 'Introvert', 'Extrovert', 'Introvert', 'Introvert', 'Extrovert']"
21800,Extrovert,4,"['Introvert', 'Extrovert', 'Introvert', 'Extrovert', 'Introvert', 'Introvert']"
22547,Extrovert,4,"['Introvert', 'Extrovert', 'Introvert', 'Introvert', 'Introvert', 'Extrovert']"
22218,Extrovert,3,"['Introvert', 'Introvert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert']"
21932,Extrovert,2,"['Introvert', 'Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert']"
23872,Extrovert,2,"['Introvert', 'Introvert', 'Extrovert', 'Extrovert', 'Extrovert', 'Extrovert']"
20017,Extrovert,2,"['Extrovert', 'Introvert', 'Introvert', 'Extrovert', 'Extrovert', 'Extrovert']"
18876,Extrovert,2,"['Introvert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
19876,Extrovert,2,"['Introvert', 'Introvert', 'Extrovert', 'Extrovert', 'Extrovert', 'Extrovert']"
23547,Extrovert,2,"['Extrovert', 'Extrovert', 'Introvert', 'Introvert', 'Extrovert', 'Extrovert']"
18604,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
19774,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
19514,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
18754,Extrovert,1,"['Introvert', 'Extrovert', 'Extrovert', 'Extrovert', 'Extrovert', 'Extrovert']"
19477,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
21386,Extrovert,1,"['Extrovert', 'Introvert', 'Extrovert', 'Extrovert', 'Extrovert', 'Extrovert']"
20934,Extrovert,1,"['Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert', 'Extrovert']"
20153,Introvert,1,"['Introvert', 'Introvert', 'Introvert', 'Extrovert', 'Introvert', 'Introvert']"
20033,Introvert,1,"['Introvert', 'Introvert', 'Introvert', 'Extrovert', 'Introvert', 'Introvert']"
22340,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
21977,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
21404,Introvert,1,"['Introvert', 'Extrovert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21876,Introvert,1,"['Introvert', 'Extrovert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20844,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
20915,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
22782,Extrovert,1,"['Introvert', 'Extrovert', 'Extrovert', 'Extrovert', 'Extrovert', 'Extrovert']"
22415,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
23437,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
23350,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
22653,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
23792,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
23961,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
24005,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
24293,Introvert,1,"['Introvert', 'Extrovert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24357,Extrovert,1,"['Extrovert', 'Extrovert', 'Extrovert', 'Introvert', 'Extrovert', 'Extrovert']"
