index,id,original,recreated
1,18525,Introvert,Extrovert
12,18536,Introvert,Extrovert
307,18831,Introvert,Extrovert
318,18842,Introvert,Extrovert
479,19003,Introvert,Extrovert
572,19096,Introvert,Extrovert
866,19390,Introvert,Extrovert
893,19417,Introvert,Extrovert
898,19422,Introvert,Extrovert
958,19482,Introvert,Extrovert
959,19483,Introvert,Extrovert
979,19503,Introvert,Extrovert
1006,19530,Introvert,Extrovert
1144,19668,Introvert,Extrovert
1201,19725,Introvert,Extrovert
1244,19768,Introvert,Extrovert
1336,19860,Introvert,Extrovert
1351,19875,Introvert,Extrovert
1477,20001,Introvert,Extrovert
1509,20033,Introvert,Extrovert
1797,20321,Introvert,Extrovert
1837,20361,Introvert,Extrovert
1873,20397,Introvert,Extrovert
1951,20475,Introvert,Extrovert
1987,20511,Introvert,Extrovert
2017,20541,Introvert,Extrovert
2181,20705,Introvert,Extrovert
2357,20881,Introvert,Extrovert
2461,20985,Introvert,Extrovert
2498,21022,Introvert,Extrovert
2632,21156,Introvert,Extrovert
2649,21173,Introvert,Extrovert
2771,21295,Introvert,Extrovert
2880,21404,Introvert,Extrovert
2921,21445,Introvert,Extrovert
2933,21457,Introvert,Extrovert
3013,21537,Introvert,Extrovert
3319,21843,Introvert,Extrovert
3352,21876,Introvert,Extrovert
3391,21915,Introvert,Extrovert
3672,22196,Introvert,Extrovert
3695,22219,Introvert,Extrovert
3865,22389,Introvert,Extrovert
4000,22524,Introvert,Extrovert
4035,22559,Introvert,Extrovert
4174,22698,Introvert,Extrovert
4422,22946,Introvert,Extrovert
4511,23035,Introvert,Extrovert
4635,23159,Introvert,Extrovert
4681,23205,Introvert,Extrovert
4768,23292,Introvert,Extrovert
5018,23542,Introvert,Extrovert
5214,23738,Introvert,Extrovert
5257,23781,Introvert,Extrovert
5278,23802,Introvert,Extrovert
5434,23958,Introvert,Extrovert
5469,23993,Introvert,Extrovert
5769,24293,Introvert,Extrovert
5806,24330,Introvert,Extrovert
5907,24431,Introvert,Extrovert
5931,24455,Introvert,Extrovert
5951,24475,Introvert,Extrovert
6071,24595,Introvert,Extrovert
