iter	Logloss
0	0.6100778471
1	0.5422720096
2	0.4858275829
3	0.4380994516
4	0.3977249479
5	0.3630368743
6	0.3332900279
7	0.3073548669
8	0.2848921912
9	0.2655523164
10	0.2484250737
11	0.2335199607
12	0.2203827583
13	0.2088782116
14	0.1987189095
15	0.1900239317
16	0.1823141111
17	0.175600336
18	0.1696542739
19	0.1643261735
20	0.1597473482
21	0.1556753507
22	0.152175472
23	0.1492083967
24	0.1465835489
25	0.1441584509
26	0.1420780005
27	0.1401673573
28	0.1386433219
29	0.1373060112
30	0.1360718916
31	0.1349996989
32	0.1340729602
33	0.1332754977
34	0.1325866578
35	0.132007883
36	0.1314394821
37	0.1310038985
38	0.1305474718
39	0.1303406173
40	0.1299086612
41	0.1295988789
42	0.1293007768
43	0.1289917247
44	0.1287372107
45	0.1284722761
46	0.128284709
47	0.1280790325
48	0.1278428179
49	0.1276396007
50	0.127488765
51	0.1273603541
52	0.1272057499
53	0.1270839917
54	0.1269276407
55	0.1268083936
56	0.1266863738
57	0.1265225247
58	0.1263977875
59	0.126275504
60	0.1261261966
61	0.1260216857
62	0.1259094227
63	0.1257990654
64	0.1256877458
65	0.125622251
66	0.1255307864
67	0.1254485509
68	0.1253840502
69	0.1252985409
70	0.1252004695
71	0.125185172
72	0.1250874859
73	0.1250110245
74	0.1248572548
75	0.1247750139
76	0.1246603414
77	0.1245990218
78	0.1245152491
79	0.1244203524
80	0.1243714119
81	0.1242673216
82	0.1241902079
83	0.1241049602
84	0.1240441105
85	0.1240092401
86	0.1239367287
87	0.1238705232
88	0.123790275
89	0.1237315222
90	0.1237029468
91	0.1236155441
92	0.1235338816
93	0.1234674609
94	0.1234270133
95	0.1233941312
96	0.1233455811
97	0.1232836985
98	0.1232186574
99	0.1231382995
