iter	Passed	Remaining
0	2	676
1	4	604
2	5	558
3	7	564
4	9	544
5	11	546
6	12	541
7	14	543
8	17	554
9	19	555
10	21	551
11	22	543
12	24	541
13	26	538
14	28	537
15	30	536
16	32	533
17	34	535
18	36	537
19	39	546
20	41	549
21	43	549
22	45	548
23	49	574
24	53	589
25	56	590
26	58	588
27	60	586
28	63	590
29	65	592
30	67	589
31	70	586
32	72	585
33	75	587
34	77	584
35	79	581
36	82	588
37	85	592
38	90	603
39	92	603
40	95	600
41	98	602
42	101	607
43	105	611
44	107	607
45	110	609
46	112	605
47	114	601
48	117	602
49	120	600
50	123	602
51	125	599
52	127	595
53	129	591
54	132	589
55	135	590
56	139	593
57	141	588
58	143	585
59	145	582
60	148	583
61	152	585
62	157	593
63	161	595
64	166	602
65	169	601
66	173	601
67	175	598
68	177	595
69	180	591
70	183	591
71	186	590
72	189	587
73	191	584
74	194	582
75	196	578
76	199	577
77	201	574
78	204	572
79	206	568
80	208	564
81	210	560
82	212	556
83	216	555
84	218	553
85	221	551
86	223	547
87	226	544
88	228	541
89	231	539
90	234	538
91	238	538
92	240	534
93	242	530
94	244	527
95	247	525
96	250	523
97	253	522
98	255	518
99	257	514
100	259	510
101	261	507
102	263	504
103	267	503
104	270	502
105	272	499
106	274	495
107	276	492
108	279	488
109	282	488
110	286	488
111	289	486
112	292	484
113	294	481
114	297	478
115	301	478
116	303	475
117	305	471
118	307	468
119	309	464
120	311	461
121	315	459
122	317	456
123	320	454
124	322	451
125	324	447
126	326	444
127	328	441
128	331	439
129	336	439
130	338	436
131	340	433
132	342	430
133	344	427
134	348	425
135	351	423
136	354	421
137	356	418
138	358	415
139	360	411
140	362	408
141	365	407
142	369	405
143	371	401
144	372	398
145	374	395
146	376	392
147	378	389
148	381	386
149	385	385
150	387	382
151	389	379
152	391	375
153	393	372
154	395	370
155	398	367
156	400	364
157	403	362
158	405	359
159	407	356
160	409	353
161	411	350
162	414	348
163	419	347
164	421	344
165	423	341
166	424	338
167	426	335
168	429	332
169	431	330
170	434	328
171	436	325
172	438	322
173	440	319
174	442	316
175	444	313
176	447	310
177	450	308
178	452	305
179	454	302
180	456	300
181	458	297
182	460	294
183	463	292
184	467	290
185	469	287
186	471	285
187	473	282
188	475	279
189	477	276
190	480	274
191	484	272
192	487	270
193	489	267
194	491	264
195	493	261
196	496	259
197	499	257
198	501	254
199	503	251
200	505	248
201	507	246
202	509	243
203	511	240
204	514	238
205	517	236
206	519	233
207	521	230
208	523	228
209	525	225
210	528	223
211	531	220
212	534	218
213	536	215
214	538	213
215	541	210
216	543	207
217	546	205
218	549	203
219	551	200
220	553	197
221	555	195
222	557	192
223	559	189
224	562	187
225	565	185
226	568	182
227	572	180
228	574	178
229	576	175
230	579	173
231	583	170
232	585	168
233	587	165
234	589	162
235	591	160
236	593	157
237	595	155
238	598	152
239	601	150
240	603	147
241	605	145
242	606	142
243	609	139
244	613	137
245	616	135
246	618	132
247	620	130
248	622	127
249	624	124
250	626	122
251	629	119
252	632	117
253	634	114
254	636	112
255	638	109
256	640	107
257	643	104
258	646	102
259	651	100
260	653	97
261	655	95
262	657	92
263	659	89
264	663	87
265	666	85
266	668	82
267	670	80
268	672	77
269	674	74
270	676	72
271	679	69
272	682	67
273	684	64
274	686	62
275	689	59
276	691	57
277	694	54
278	697	52
279	700	50
280	702	47
281	704	44
282	706	42
283	708	39
284	711	37
285	713	34
286	717	32
287	719	29
288	721	27
289	723	24
290	725	22
291	728	19
292	731	17
293	733	14
294	735	12
295	737	9
296	739	7
297	741	4
298	744	2
299	747	0
