feature,importance
Stage_fear,0.92664474
Drained_after_socializing,0.017023364
null_count,0.009792869
Time_spent_Alone_is_null,0.005633459
weighted_null_score,0.0055712396
Time_spent_Alone,0.004714837
Friends_circle_size_is_null,0.0034977742
Social_event_attendance,0.0033760022
social_nulls_count,0.0032725006
Going_outside,0.0032399509
Post_frequency_is_null,0.0029083916
low_alone_no_nulls,0.002900447
Post_frequency,0.0028258334
Social_event_attendance_is_null,0.0027873665
Going_outside_is_null,0.002727113
Friends_circle_size,0.002514922
psychological_nulls_count,0.00021261521
pattern_only_stage,0.00013744897
many_friends_null_drained,0.00011369246
pattern_only_drained,0.00010542806
has_stage_fear_null,0.0
has_drained_null,0.0
Stage_fear_is_null,0.0
Drained_after_socializing_is_null,0.0
pattern_no_nulls,0.0
has_multiple_nulls,0.0
has_any_null,0.0
has_no_nulls,0.0
null_percentage,0.0
high_social_null_drained,0.0
has_social_nulls,0.0
has_psychological_nulls,0.0
