iteration,n_added,n_added_E,n_added_I,total_pseudo,val_accuracy,E_conf_min,E_conf_mean,I_conf_min,I_conf_mean
1,200,147,53,200,0.9724696356275304,1.0,1.0,0.9999983400000001,0.99999834
2,200,147,53,400,0.9727395411605938,1.0,1.0,0.9999983400000001,0.99999834
3,200,147,53,600,0.9724696356275304,1.0,1.0,0.9999983400000001,0.99999834
4,200,147,53,800,0.9727395411605938,1.0,1.0,0.9999983400000001,0.99999834
5,200,147,53,1000,0.9724696356275304,1.0,1.0,0.9999983400000001,0.99999834
6,200,147,53,1200,0.9724696356275304,1.0,1.0,0.9999983400000001,0.99999834
7,200,147,53,1400,0.9727395411605938,1.0,1.0,0.9999983400000001,0.99999834
8,200,147,53,1600,0.9727395411605938,1.0,1.0,0.9999983400000001,0.99999834
9,200,147,53,1800,0.9727395411605938,1.0,1.0,0.9999983400000001,0.99999834
10,200,147,53,2000,0.9727395411605938,1.0,1.0,0.9999983400000001,0.99999834
