iteration,n_added,n_added_E,n_added_I,total_pseudo,val_accuracy,E_conf_min,E_conf_mean,I_conf_min,I_conf_mean
1,300,221,79,300,0.9724696356275304,1.0,1.0,0.9999983400000001,0.9999983400000007
2,300,221,79,600,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000007
3,300,221,79,900,0.9724696356275304,1.0,1.0,0.9999983400000001,0.9999983400000007
4,300,221,79,1200,0.9724696356275304,1.0,1.0,0.9999983400000001,0.9999983400000007
5,300,221,79,1500,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000007
6,300,221,79,1800,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000007
7,300,221,79,2100,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000007
8,300,221,79,2400,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000007
9,300,221,79,2700,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000007
10,300,221,79,3000,0.9727395411605938,1.0,1.0,0.9999983400000001,0.9999983400000007
