id,current,should_be,pattern,score
19612,Extrovert,Introvert,zero_social,0.6849999999999999
23844,Extrovert,Introvert,minimal_friends,0.665
21359,Extrovert,Introvert,extreme_alone,0.6499999999999999
23336,Extrovert,Introvert,high_alone_low_social,0.595
21800,Extrovert,Introvert,extreme_alone,0.585
23418,Extrovert,Introvert,high_alone_low_social,0.58
22547,Extrovert,Introvert,extreme_alone,0.55
22660,Extrovert,Introvert,extreme_alone,0.445
21457,Introvert,Extrovert,minimal_alone,0.39
20765,Extrovert,Introvert,extreme_alone,0.38999999999999996
21294,Introvert,Extrovert,minimal_alone,0.365
23547,Extrovert,Introvert,extreme_alone,0.36
22049,Extrovert,Introvert,zero_social,0.36
18954,Extrovert,Introvert,zero_social,0.36
24428,Introvert,Extrovert,many_friends,0.36
20985,Introvert,Extrovert,minimal_alone,0.33499999999999996
20786,Extrovert,Introvert,minimal_friends,0.32
19410,Extrovert,Introvert,minimal_friends,0.31499999999999995
19192,Extrovert,Introvert,minimal_friends,0.29500000000000004
22028,Extrovert,Introvert,minimal_friends,0.275
24143,Extrovert,Introvert,minimal_friends,0.20500000000000002
18876,Extrovert,Introvert,extreme_alone,
22291,Extrovert,Introvert,minimal_friends,
