id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,dataset,error_type
63,8.0,Yes,4.0,2.0,Yes,,0.0,Extrovert,train,misclassified
102,6.0,Yes,2.0,0.0,Yes,2.0,0.0,Extrovert,train,misclassified
124,4.0,No,7.0,6.0,No,11.0,3.0,Introvert,train,misclassified
139,11.0,,2.0,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
149,0.0,No,4.0,6.0,No,,3.0,Introvert,train,misclassified
272,4.0,No,5.0,3.0,No,12.0,3.0,Introvert,train,misclassified
285,,No,9.0,5.0,No,12.0,6.0,Introvert,train,misclassified
338,,No,9.0,6.0,No,13.0,8.0,Introvert,train,misclassified
398,4.0,Yes,2.0,2.0,Yes,7.0,2.0,Extrovert,train,misclassified
403,6.0,,1.0,,Yes,3.0,2.0,Extrovert,train,misclassified
503,11.0,Yes,1.0,2.0,,3.0,1.0,Extrovert,train,misclassified
518,11.0,Yes,1.0,1.0,Yes,4.0,3.0,Extrovert,train,misclassified
547,2.0,No,10.0,6.0,No,10.0,6.0,Introvert,train,misclassified
558,3.0,Yes,2.0,1.0,Yes,2.0,1.0,Extrovert,train,misclassified
561,1.0,No,9.0,4.0,No,13.0,4.0,Introvert,train,misclassified
655,9.0,Yes,,0.0,Yes,3.0,1.0,Extrovert,train,misclassified
707,6.0,Yes,0.0,1.0,Yes,1.0,2.0,Extrovert,train,misclassified
714,5.0,Yes,4.0,2.0,Yes,4.0,1.0,Extrovert,train,misclassified
727,6.0,Yes,3.0,2.0,Yes,3.0,2.0,Extrovert,train,misclassified
737,7.0,Yes,0.0,,Yes,5.0,2.0,Extrovert,train,misclassified
738,5.0,No,5.0,7.0,No,8.0,7.0,Introvert,train,misclassified
869,10.0,Yes,2.0,0.0,Yes,,2.0,Extrovert,train,misclassified
877,1.0,No,4.0,6.0,No,13.0,4.0,Introvert,train,misclassified
880,5.0,No,0.0,2.0,No,3.0,1.0,Extrovert,train,misclassified
946,7.0,Yes,3.0,2.0,,4.0,2.0,Extrovert,train,misclassified
1037,4.0,Yes,2.0,3.0,Yes,1.0,2.0,Extrovert,train,misclassified
1041,11.0,Yes,0.0,1.0,Yes,0.0,0.0,Extrovert,train,misclassified
1203,9.0,Yes,2.0,2.0,Yes,0.0,1.0,Extrovert,train,misclassified
1211,2.0,No,9.0,6.0,No,6.0,3.0,Introvert,train,misclassified
1230,0.0,Yes,3.0,2.0,Yes,3.0,1.0,Extrovert,train,misclassified
1263,10.0,Yes,3.0,3.0,Yes,4.0,3.0,Extrovert,train,misclassified
1378,4.0,No,9.0,4.0,,12.0,5.0,Introvert,train,misclassified
1430,1.0,No,4.0,5.0,No,10.0,7.0,Introvert,train,misclassified
1460,2.0,No,5.0,6.0,No,14.0,10.0,Introvert,train,misclassified
1499,0.0,No,6.0,3.0,No,14.0,7.0,Introvert,train,misclassified
1511,1.0,No,9.0,7.0,No,8.0,7.0,Introvert,train,misclassified
1515,6.0,Yes,0.0,,Yes,2.0,1.0,Extrovert,train,misclassified
1555,11.0,Yes,0.0,5.0,Yes,2.0,3.0,Extrovert,train,misclassified
1582,7.0,Yes,2.0,0.0,Yes,0.0,2.0,Extrovert,train,misclassified
1585,2.0,No,4.0,7.0,No,6.0,4.0,Introvert,train,misclassified
1596,0.0,No,9.0,7.0,No,13.0,6.0,Introvert,train,misclassified
1615,3.0,,,5.0,No,13.0,5.0,Introvert,train,misclassified
1703,0.0,No,8.0,5.0,No,10.0,6.0,Introvert,train,misclassified
1716,0.0,No,6.0,7.0,,13.0,8.0,Introvert,train,misclassified
1725,1.0,No,5.0,7.0,No,15.0,6.0,Introvert,train,misclassified
1729,4.0,No,4.0,7.0,No,10.0,7.0,Introvert,train,misclassified
1737,8.0,Yes,1.0,3.0,Yes,2.0,3.0,Extrovert,train,misclassified
1766,1.0,No,3.0,,No,6.0,3.0,Introvert,train,misclassified
1774,7.0,No,5.0,7.0,No,13.0,5.0,Introvert,train,misclassified
1834,2.0,No,7.0,5.0,No,7.0,6.0,Introvert,train,misclassified
1845,7.0,Yes,3.0,2.0,Yes,1.0,2.0,Extrovert,train,misclassified
1873,1.0,No,9.0,7.0,No,15.0,10.0,Introvert,train,misclassified
1882,2.0,No,7.0,5.0,No,11.0,8.0,Introvert,train,misclassified
1886,0.0,No,5.0,7.0,No,13.0,9.0,Introvert,train,misclassified
1896,2.0,No,6.0,6.0,No,10.0,10.0,Introvert,train,misclassified
1927,9.0,Yes,2.0,0.0,Yes,,1.0,Extrovert,train,misclassified
1944,8.0,No,0.0,1.0,Yes,4.0,2.0,Extrovert,train,misclassified
1971,,,1.0,2.0,Yes,3.0,2.0,Extrovert,train,misclassified
2001,0.0,No,4.0,5.0,No,12.0,4.0,Introvert,train,misclassified
2004,4.0,No,9.0,4.0,No,13.0,6.0,Introvert,train,misclassified
2029,8.0,Yes,1.0,2.0,Yes,2.0,,Extrovert,train,misclassified
2035,0.0,No,5.0,5.0,No,11.0,10.0,Introvert,train,misclassified
2106,9.0,,3.0,0.0,No,4.0,0.0,Extrovert,train,misclassified
2136,1.0,No,10.0,5.0,No,13.0,4.0,Introvert,train,misclassified
2176,0.0,No,8.0,5.0,No,5.0,5.0,Introvert,train,misclassified
2183,9.0,,3.0,3.0,Yes,2.0,2.0,Extrovert,train,misclassified
2192,10.0,Yes,2.0,,No,1.0,1.0,Extrovert,train,misclassified
2197,2.0,No,9.0,,No,11.0,8.0,Introvert,train,misclassified
2203,0.0,No,,6.0,No,12.0,8.0,Introvert,train,misclassified
2214,4.0,No,3.0,3.0,No,4.0,2.0,Extrovert,train,misclassified
2234,10.0,Yes,1.0,2.0,Yes,2.0,3.0,Extrovert,train,misclassified
2315,2.0,No,6.0,6.0,No,15.0,5.0,Introvert,train,misclassified
2358,0.0,No,4.0,4.0,No,12.0,6.0,Introvert,train,misclassified
2473,11.0,Yes,3.0,,Yes,4.0,2.0,Extrovert,train,misclassified
2526,1.0,No,5.0,5.0,No,10.0,7.0,Introvert,train,misclassified
2553,9.0,No,2.0,3.0,Yes,3.0,1.0,Extrovert,train,misclassified
2613,9.0,Yes,2.0,2.0,Yes,2.0,3.0,Extrovert,train,misclassified
2651,,Yes,3.0,3.0,,4.0,2.0,Introvert,train,misclassified
2653,2.0,No,9.0,6.0,No,9.0,8.0,Introvert,train,misclassified
2694,2.0,No,4.0,7.0,No,4.0,6.0,Introvert,train,misclassified
2712,4.0,Yes,4.0,2.0,Yes,5.0,2.0,Extrovert,train,misclassified
2751,10.0,Yes,1.0,0.0,Yes,2.0,0.0,Extrovert,train,misclassified
2773,4.0,Yes,0.0,2.0,Yes,4.0,,Extrovert,train,misclassified
2835,5.0,,3.0,1.0,Yes,1.0,1.0,Extrovert,train,misclassified
2906,7.0,Yes,0.0,0.0,,3.0,0.0,Extrovert,train,misclassified
3021,10.0,Yes,1.0,1.0,Yes,4.0,,Extrovert,train,misclassified
3086,0.0,No,3.0,5.0,No,14.0,3.0,Introvert,train,misclassified
3130,,No,9.0,5.0,No,12.0,8.0,Introvert,train,misclassified
3153,5.0,Yes,3.0,2.0,,0.0,0.0,Extrovert,train,misclassified
3191,5.0,Yes,0.0,0.0,Yes,1.0,3.0,Extrovert,train,misclassified
3286,,No,3.0,2.0,Yes,5.0,1.0,Extrovert,train,misclassified
3321,7.0,Yes,0.0,0.0,,,0.0,Extrovert,train,misclassified
3398,1.0,No,5.0,7.0,No,6.0,7.0,Introvert,train,misclassified
3410,4.0,Yes,,,Yes,5.0,1.0,Extrovert,train,misclassified
3470,8.0,Yes,1.0,3.0,Yes,5.0,1.0,Extrovert,train,misclassified
3546,6.0,,0.0,,No,4.0,2.0,Extrovert,train,misclassified
3558,2.0,No,7.0,7.0,No,14.0,10.0,Introvert,train,misclassified
3565,7.0,Yes,1.0,0.0,Yes,1.0,,Extrovert,train,misclassified
3621,2.0,No,8.0,7.0,No,11.0,5.0,Introvert,train,misclassified
3642,7.0,Yes,0.0,0.0,Yes,4.0,1.0,Extrovert,train,misclassified
3657,,No,7.0,6.0,No,15.0,10.0,Introvert,train,misclassified
3670,5.0,Yes,3.0,0.0,Yes,,3.0,Extrovert,train,misclassified
3680,1.0,No,3.0,7.0,No,7.0,3.0,Introvert,train,misclassified
3682,3.0,No,,4.0,No,10.0,7.0,Introvert,train,misclassified
3693,4.0,Yes,2.0,0.0,Yes,5.0,3.0,Extrovert,train,misclassified
3697,1.0,No,9.0,7.0,No,11.0,7.0,Introvert,train,misclassified
3700,9.0,No,3.0,2.0,No,4.0,2.0,Extrovert,train,misclassified
3710,,No,8.0,7.0,No,6.0,,Introvert,train,misclassified
3810,7.0,Yes,1.0,1.0,Yes,,2.0,Extrovert,train,misclassified
3827,2.0,No,8.0,5.0,No,9.0,,Introvert,train,misclassified
3833,0.0,No,8.0,3.0,No,9.0,8.0,Introvert,train,misclassified
3840,2.0,No,4.0,7.0,No,15.0,4.0,Introvert,train,misclassified
3855,8.0,Yes,3.0,4.0,Yes,2.0,1.0,Extrovert,train,misclassified
3859,,No,6.0,6.0,No,6.0,,Introvert,train,misclassified
3863,1.0,No,6.0,4.0,No,3.0,7.0,Introvert,train,misclassified
3896,,No,4.0,6.0,No,9.0,3.0,Introvert,train,misclassified
4082,1.0,No,9.0,7.0,No,12.0,4.0,Introvert,train,misclassified
4117,8.0,Yes,1.0,1.0,Yes,0.0,2.0,Extrovert,train,misclassified
4223,2.0,No,4.0,6.0,No,8.0,5.0,Introvert,train,misclassified
4226,,No,7.0,6.0,No,9.0,5.0,Introvert,train,misclassified
4252,9.0,Yes,2.0,0.0,Yes,3.0,1.0,Extrovert,train,misclassified
4258,,No,6.0,5.0,No,13.0,8.0,Introvert,train,misclassified
4340,2.0,No,6.0,3.0,No,15.0,5.0,Introvert,train,misclassified
4411,2.0,No,,6.0,No,11.0,5.0,Introvert,train,misclassified
4427,11.0,Yes,2.0,0.0,Yes,4.0,0.0,Extrovert,train,misclassified
4452,3.0,No,8.0,7.0,No,5.0,6.0,Introvert,train,misclassified
4460,0.0,No,,7.0,No,14.0,5.0,Introvert,train,misclassified
4463,1.0,No,8.0,5.0,No,7.0,7.0,Introvert,train,misclassified
4490,2.0,No,6.0,5.0,No,,4.0,Introvert,train,misclassified
4516,8.0,Yes,1.0,3.0,Yes,4.0,0.0,Extrovert,train,misclassified
4519,3.0,No,9.0,3.0,,9.0,3.0,Introvert,train,misclassified
4548,0.0,No,7.0,3.0,No,10.0,9.0,Introvert,train,misclassified
4565,6.0,Yes,2.0,2.0,Yes,4.0,3.0,Extrovert,train,misclassified
4598,0.0,No,10.0,6.0,No,13.0,4.0,Introvert,train,misclassified
4608,2.0,,7.0,6.0,No,7.0,4.0,Introvert,train,misclassified
4623,2.0,No,7.0,7.0,No,6.0,5.0,Introvert,train,misclassified
4637,2.0,No,10.0,4.0,No,6.0,7.0,Introvert,train,misclassified
4673,,Yes,3.0,,Yes,4.0,0.0,Extrovert,train,misclassified
4677,1.0,No,8.0,3.0,No,4.0,6.0,Introvert,train,misclassified
4796,1.0,,6.0,6.0,No,15.0,3.0,Introvert,train,misclassified
4894,3.0,No,,7.0,No,12.0,6.0,Introvert,train,misclassified
4898,1.0,No,9.0,,No,5.0,4.0,Introvert,train,misclassified
4913,2.0,Yes,2.0,1.0,Yes,5.0,2.0,Extrovert,train,misclassified
4943,1.0,No,9.0,5.0,No,4.0,6.0,Introvert,train,misclassified
4963,3.0,No,3.0,5.0,No,5.0,8.0,Introvert,train,misclassified
5025,7.0,Yes,4.0,2.0,Yes,2.0,1.0,Extrovert,train,misclassified
5041,9.0,Yes,1.0,2.0,Yes,3.0,1.0,Extrovert,train,misclassified
5045,9.0,Yes,3.0,3.0,Yes,3.0,,Extrovert,train,misclassified
5048,3.0,No,4.0,5.0,No,8.0,3.0,Introvert,train,misclassified
5064,1.0,,5.0,6.0,No,15.0,8.0,Introvert,train,misclassified
5081,11.0,Yes,3.0,1.0,Yes,,0.0,Extrovert,train,misclassified
5157,6.0,,1.0,2.0,Yes,3.0,2.0,Extrovert,train,misclassified
5205,7.0,Yes,2.0,3.0,Yes,4.0,3.0,Extrovert,train,misclassified
5272,2.0,No,5.0,6.0,,11.0,6.0,Introvert,train,misclassified
5337,3.0,No,9.0,7.0,No,7.0,7.0,Introvert,train,misclassified
5362,3.0,No,7.0,7.0,No,15.0,8.0,Introvert,train,misclassified
5383,7.0,Yes,2.0,0.0,Yes,3.0,0.0,Extrovert,train,misclassified
5493,0.0,No,5.0,3.0,No,4.0,5.0,Introvert,train,misclassified
5506,8.0,Yes,3.0,2.0,Yes,4.0,,Extrovert,train,misclassified
5512,3.0,No,8.0,3.0,No,9.0,6.0,Introvert,train,misclassified
5573,6.0,Yes,1.0,0.0,Yes,1.0,,Extrovert,train,misclassified
5601,0.0,No,8.0,3.0,No,13.0,3.0,Introvert,train,misclassified
5657,0.0,No,9.0,4.0,No,10.0,8.0,Introvert,train,misclassified
5689,4.0,Yes,3.0,,Yes,3.0,2.0,Extrovert,train,misclassified
5766,5.0,Yes,0.0,,Yes,,2.0,Extrovert,train,misclassified
5851,1.0,Yes,3.0,2.0,Yes,4.0,2.0,Extrovert,train,misclassified
5862,0.0,No,7.0,7.0,No,5.0,5.0,Introvert,train,misclassified
