id,Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear,Drained_after_socializing,Personality,ambiguity_score,composite_ambiguity
9067,3.0,4.0,5.0,7.0,9.0,,,Extrovert,0.33333333333333215,3.4
4086,1.0,4.0,6.0,,,0.0,0.0,Extrovert,1.704647154322707,2.8
2694,2.0,4.0,7.0,4.0,6.0,0.0,0.0,Introvert,2.3333333333333286,2.8
10120,0.0,3.0,7.0,7.0,4.0,0.0,0.0,Introvert,2.3333333333333357,2.8
10089,3.0,9.0,5.0,6.0,6.0,,,Extrovert,3.0,2.8
4223,2.0,4.0,6.0,8.0,5.0,0.0,0.0,Introvert,3.666666666666668,2.8
7012,3.0,4.0,4.0,14.0,6.0,,,Extrovert,3.6666666666666643,2.8
11340,7.0,5.0,6.0,10.0,10.0,0.0,0.0,Introvert,0.33333333333333215,2.5
14687,5.0,9.0,3.0,13.0,6.0,0.0,0.0,Introvert,0.3333333333333357,2.5
5908,6.0,10.0,6.0,9.0,3.0,0.0,0.0,Introvert,3.0,2.5
10243,5.0,8.0,5.0,15.0,3.0,0.0,0.0,Introvert,3.0,2.5
17621,4.0,7.0,7.0,15.0,4.0,0.0,0.0,Introvert,3.0,2.5
124,4.0,7.0,6.0,11.0,3.0,0.0,0.0,Introvert,3.6666666666666643,2.5
2004,4.0,9.0,4.0,13.0,6.0,0.0,0.0,Introvert,3.6666666666666643,2.5
13158,4.0,5.0,7.0,13.0,7.0,0.0,0.0,Introvert,3.6666666666666643,2.5
369,,5.0,6.0,11.0,6.0,,0.0,Extrovert,0.057805469020422606,2.4
6545,3.0,4.0,7.0,,7.0,,0.0,Extrovert,0.3311581759206277,2.4
2148,2.0,4.0,,14.0,7.0,,0.0,Extrovert,0.42197209520459467,2.4
6081,,5.0,5.0,12.0,7.0,,0.0,Extrovert,0.7244721356870869,2.4
14062,3.0,5.0,,9.0,9.0,,0.0,Extrovert,1.088638761871266,2.4
2839,,4.0,5.0,15.0,6.0,,0.0,Extrovert,1.275527864312913,2.4
8711,2.0,,5.0,12.0,6.0,,0.0,Extrovert,1.5302121771217685,2.4
12928,0.0,4.0,3.0,,7.0,,0.0,Extrovert,1.6688418240793723,2.4
17385,4.0,7.0,4.0,,7.0,,0.0,Extrovert,1.6688418240793723,2.4
14606,,8.0,3.0,12.0,7.0,,0.0,Extrovert,2.724472135687087,2.4
14239,2.0,,5.0,8.0,8.0,,0.0,Extrovert,2.863545510455104,2.4
17072,1.0,,4.0,8.0,8.0,,0.0,Extrovert,2.863545510455104,2.4
7140,,5.0,6.0,13.0,7.0,,0.0,Extrovert,3.391138802353751,2.4
11992,,8.0,4.0,11.0,7.0,,0.0,Extrovert,4.057805469020423,2.4
4584,0.0,,5.0,4.0,8.0,,0.0,Extrovert,4.19687884378844,2.4
6442,3.0,,5.0,7.0,10.0,,0.0,Extrovert,4.19687884378844,2.4
13035,3.0,,4.0,13.0,9.0,,0.0,Extrovert,4.19687884378844,2.4
12860,3.0,7.0,,,9.0,,0.0,Extrovert,4.419796937791887,2.4
629,3.0,8.0,,11.0,7.0,,0.0,Extrovert,4.421972095204595,2.4
17683,4.0,5.0,5.0,10.0,9.0,,0.0,Extrovert,1.6666666666666679,2.3
2108,1.0,4.0,6.0,8.0,6.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
2488,1.0,4.0,7.0,8.0,5.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
3613,2.0,4.0,7.0,7.0,6.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
4854,1.0,4.0,6.0,7.0,6.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
8245,0.0,4.0,5.0,7.0,6.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
8526,1.0,4.0,7.0,7.0,5.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
9542,0.0,4.0,5.0,8.0,6.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
10147,0.0,4.0,6.0,8.0,5.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
11053,1.0,3.0,7.0,7.0,6.0,0.0,0.0,Extrovert,0.3333333333333357,2.0
5812,0.0,4.0,6.0,7.0,,0.0,0.0,Extrovert,0.36913866357667047,2.0
1283,1.0,4.0,7.0,6.0,5.0,0.0,0.0,Extrovert,1.0,2.0
1317,0.0,3.0,7.0,6.0,6.0,0.0,0.0,Extrovert,1.0,2.0
10229,0.0,4.0,5.0,6.0,6.0,0.0,0.0,Extrovert,1.0,2.0
2277,0.0,4.0,,8.0,6.0,0.0,0.0,Extrovert,1.5780279047954053,2.0
116,1.0,4.0,5.0,8.0,6.0,0.0,0.0,Extrovert,1.6666666666666679,2.0
154,2.0,4.0,7.0,5.0,6.0,0.0,0.0,Extrovert,1.6666666666666714,2.0
1426,0.0,3.0,5.0,8.0,6.0,0.0,0.0,Extrovert,1.6666666666666679,2.0
3703,2.0,4.0,7.0,8.0,5.0,0.0,0.0,Extrovert,1.6666666666666643,2.0
4846,0.0,4.0,6.0,8.0,4.0,0.0,0.0,Extrovert,1.6666666666666643,2.0
5088,0.0,4.0,6.0,7.0,6.0,0.0,0.0,Extrovert,1.6666666666666643,2.0
5166,0.0,3.0,7.0,8.0,4.0,0.0,0.0,Extrovert,1.6666666666666643,2.0
5484,0.0,4.0,5.0,8.0,5.0,0.0,0.0,Extrovert,1.6666666666666643,2.0
6672,0.0,4.0,7.0,7.0,5.0,0.0,0.0,Extrovert,1.6666666666666643,2.0
8131,1.0,4.0,7.0,5.0,5.0,0.0,0.0,Extrovert,1.6666666666666679,2.0
8972,3.0,4.0,7.0,8.0,6.0,0.0,0.0,Extrovert,1.6666666666666679,2.0
9579,1.0,3.0,6.0,8.0,6.0,0.0,0.0,Extrovert,1.6666666666666679,2.0
10673,1.0,4.0,6.0,5.0,6.0,0.0,0.0,Extrovert,1.6666666666666714,2.0
11726,0.0,3.0,6.0,5.0,6.0,0.0,0.0,Extrovert,1.6666666666666714,2.0
1722,3.0,4.0,7.0,,6.0,0.0,0.0,Extrovert,1.6688418240793723,2.0
2190,2.0,4.0,6.0,,6.0,0.0,0.0,Extrovert,1.6688418240793723,2.0
4308,0.0,4.0,4.0,,6.0,0.0,0.0,Extrovert,1.6688418240793723,2.0
5410,0.0,4.0,7.0,,3.0,0.0,0.0,Extrovert,1.6688418240793723,2.0
6252,0.0,4.0,5.0,,5.0,0.0,0.0,Extrovert,1.6688418240793723,2.0
7077,0.0,4.0,6.0,,4.0,0.0,0.0,Extrovert,1.6688418240793723,2.0
11083,1.0,4.0,6.0,,5.0,0.0,0.0,Extrovert,1.6688418240793723,2.0
5431,1.0,4.0,6.0,8.0,,0.0,0.0,Extrovert,1.702471996909999,2.0
10088,2.0,4.0,7.0,8.0,,0.0,0.0,Extrovert,1.702471996909999,2.0
3432,0.0,4.0,,7.0,6.0,0.0,0.0,Extrovert,2.2446945714620696,2.0
2353,0.0,4.0,7.0,8.0,,0.0,0.0,Extrovert,2.297528003090001,2.0
4436,0.0,4.0,6.0,,6.0,0.0,0.0,Extrovert,2.3311581759206277,2.0
437,0.0,4.0,4.0,7.0,6.0,0.0,0.0,Extrovert,2.333333333333332,2.0
1521,2.0,4.0,6.0,7.0,6.0,0.0,0.0,Extrovert,2.333333333333332,2.0
7782,0.0,4.0,7.0,4.0,4.0,0.0,0.0,Extrovert,2.333333333333332,2.0
9606,3.0,4.0,7.0,7.0,6.0,0.0,0.0,Extrovert,2.333333333333332,2.0
9911,0.0,4.0,6.0,4.0,5.0,0.0,0.0,Extrovert,2.333333333333332,2.0
1161,0.0,4.0,6.0,7.0,4.0,0.0,0.0,Extrovert,2.3333333333333357,2.0
6236,0.0,4.0,5.0,7.0,5.0,0.0,0.0,Extrovert,2.3333333333333357,2.0
6439,0.0,4.0,7.0,8.0,5.0,0.0,0.0,Extrovert,2.3333333333333357,2.0
8161,2.0,4.0,7.0,7.0,5.0,0.0,0.0,Extrovert,2.3333333333333357,2.0
9663,0.0,4.0,6.0,8.0,6.0,0.0,0.0,Extrovert,2.3333333333333357,2.0
9883,1.0,4.0,7.0,7.0,4.0,0.0,0.0,Extrovert,2.3333333333333357,2.0
4645,0.0,4.0,5.0,7.0,,0.0,0.0,Extrovert,2.3691386635766705,2.0
9870,1.0,4.0,6.0,7.0,,0.0,0.0,Extrovert,2.3691386635766705,2.0
11588,0.0,3.0,7.0,4.0,,0.0,0.0,Extrovert,2.369138663576667,2.0
893,1.0,4.0,7.0,6.0,4.0,0.0,0.0,Extrovert,3.0,2.0
2027,2.0,4.0,6.0,6.0,6.0,0.0,0.0,Extrovert,3.0,2.0
3275,0.0,4.0,4.0,6.0,6.0,0.0,0.0,Extrovert,3.0,2.0
5609,0.0,3.0,7.0,6.0,4.0,0.0,0.0,Extrovert,3.0,2.0
6328,1.0,3.0,6.0,6.0,6.0,0.0,0.0,Extrovert,3.0,2.0
10996,0.0,3.0,5.0,9.0,5.0,1.0,0.0,Extrovert,3.0,2.0
11600,1.0,3.0,7.0,6.0,5.0,0.0,0.0,Extrovert,3.0,2.0
3428,1.0,4.0,6.0,6.0,,0.0,0.0,Extrovert,3.0358053302433348,2.0
10867,0.0,4.0,5.0,6.0,,0.0,0.0,Extrovert,3.0358053302433348,2.0
414,1.0,4.0,5.0,5.0,6.0,0.0,0.0,Extrovert,3.6666666666666714,2.0
3341,0.0,4.0,3.0,8.0,6.0,0.0,0.0,Extrovert,3.666666666666668,2.0
3440,0.0,4.0,5.0,5.0,5.0,0.0,0.0,Extrovert,3.6666666666666714,2.0
3676,0.0,4.0,5.0,8.0,4.0,0.0,0.0,Extrovert,3.6666666666666643,2.0
3860,0.0,3.0,5.0,8.0,5.0,0.0,0.0,Extrovert,3.666666666666668,2.0
4721,2.0,4.0,7.0,8.0,4.0,0.0,0.0,Extrovert,3.6666666666666643,2.0
5249,1.0,3.0,5.0,8.0,6.0,0.0,0.0,Extrovert,3.666666666666668,2.0
5423,2.0,4.0,5.0,8.0,6.0,0.0,0.0,Extrovert,3.666666666666668,2.0
5656,0.0,4.0,4.0,5.0,6.0,0.0,0.0,Extrovert,3.6666666666666714,2.0
6005,1.0,4.0,5.0,8.0,5.0,0.0,0.0,Extrovert,3.666666666666668,2.0
9586,2.0,4.0,6.0,5.0,6.0,0.0,0.0,Extrovert,3.6666666666666714,2.0
149,0.0,4.0,6.0,,3.0,0.0,0.0,Introvert,3.6688418240793723,2.0
3729,3.0,4.0,6.0,,6.0,0.0,0.0,Extrovert,3.6688418240793723,2.0
9169,0.0,4.0,3.0,,6.0,0.0,0.0,Extrovert,3.6688418240793723,2.0
145,1.0,4.0,5.0,8.0,,0.0,0.0,Extrovert,3.7024719969100026,2.0
2491,0.0,4.0,4.0,8.0,,0.0,0.0,Extrovert,3.7024719969100026,2.0
3916,2.0,4.0,6.0,8.0,,0.0,0.0,Extrovert,3.7024719969100026,2.0
5842,3.0,4.0,7.0,8.0,,0.0,0.0,Extrovert,3.7024719969100026,2.0
9120,1.0,4.0,6.0,5.0,,0.0,0.0,Extrovert,3.702471996910006,2.0
6789,0.0,4.0,,7.0,5.0,0.0,0.0,Extrovert,4.24469457146207,2.0
456,0.0,3.0,6.0,4.0,5.0,0.0,0.0,Extrovert,4.333333333333329,2.0
1942,2.0,3.0,7.0,4.0,6.0,0.0,0.0,Extrovert,4.333333333333329,2.0
1981,1.0,4.0,6.0,4.0,5.0,0.0,0.0,Extrovert,4.333333333333329,2.0
3022,0.0,3.0,5.0,4.0,6.0,0.0,0.0,Extrovert,4.333333333333329,2.0
3460,0.0,4.0,6.0,4.0,4.0,0.0,0.0,Extrovert,4.333333333333332,2.0
4393,0.0,4.0,5.0,4.0,5.0,0.0,0.0,Extrovert,4.333333333333329,2.0
5729,0.0,4.0,7.0,4.0,3.0,0.0,0.0,Extrovert,4.333333333333332,2.0
5804,0.0,3.0,6.0,7.0,4.0,0.0,0.0,Extrovert,4.333333333333336,2.0
6265,2.0,3.0,7.0,7.0,5.0,0.0,0.0,Extrovert,4.333333333333332,2.0
6742,2.0,4.0,6.0,4.0,6.0,0.0,0.0,Extrovert,4.333333333333329,2.0
6835,0.0,4.0,6.0,7.0,3.0,0.0,0.0,Extrovert,4.333333333333336,2.0
7391,0.0,4.0,3.0,7.0,6.0,0.0,0.0,Extrovert,4.333333333333332,2.0
7528,1.0,4.0,6.0,7.0,4.0,0.0,0.0,Extrovert,4.333333333333336,2.0
7814,0.0,4.0,5.0,7.0,4.0,0.0,0.0,Extrovert,4.333333333333336,2.0
8093,0.0,4.0,7.0,8.0,6.0,0.0,0.0,Extrovert,4.333333333333336,2.0
8147,1.0,4.0,7.0,7.0,3.0,0.0,0.0,Extrovert,4.333333333333336,2.0
8649,1.0,3.0,6.0,7.0,5.0,0.0,0.0,Extrovert,4.333333333333332,2.0
9675,1.0,3.0,5.0,7.0,6.0,0.0,0.0,Extrovert,4.333333333333332,2.0
10891,6.0,4.0,7.0,13.0,6.0,0.0,0.0,Extrovert,4.333333333333336,2.0
11029,1.0,4.0,5.0,7.0,5.0,0.0,0.0,Extrovert,4.333333333333332,2.0
7332,0.0,3.0,5.0,7.0,,0.0,0.0,Extrovert,4.3691386635766705,2.0
9819,0.0,4.0,4.0,7.0,,0.0,0.0,Extrovert,4.3691386635766705,2.0
9857,1.0,4.0,5.0,7.0,,0.0,0.0,Extrovert,4.3691386635766705,2.0
18029,,8.0,4.0,11.0,,0.0,0.0,Extrovert,0.02200013877708784,1.8
12966,,5.0,4.0,,9.0,0.0,0.0,Extrovert,0.05563031160771459,1.8
5231,,3.0,4.0,11.0,10.0,0.0,,Extrovert,0.057805469020422606,1.8
15615,,7.0,3.0,14.0,6.0,0.0,,Extrovert,0.057805469020422606,1.8
17913,,,5.0,10.0,7.0,0.0,0.0,Extrovert,0.07864902052446965,1.8
18013,,,5.0,13.0,6.0,0.0,0.0,Extrovert,0.0786490205244732,1.8
3567,,4.0,,11.0,9.0,0.0,0.0,Extrovert,0.14644423089168512,1.8
12744,,6.0,,5.0,9.0,0.0,0.0,Extrovert,0.14644423089168868,1.8
13714,,4.0,,14.0,8.0,0.0,0.0,Extrovert,0.14644423089168512,1.8
9433,3.0,,6.0,13.0,,0.0,0.0,Extrovert,0.16107351354510513,1.8
5764,3.0,7.0,,13.0,,0.0,0.0,Extrovert,0.2804999017054044,1.8
16446,2.0,7.0,,10.0,,0.0,0.0,Extrovert,0.2804999017054044,1.8
11924,2.0,9.0,3.0,,,0.0,0.0,Extrovert,0.2953528456772929,1.8
15928,2.0,8.0,4.0,,,0.0,0.0,Extrovert,0.2953528456772929,1.8
2722,3.0,7.0,7.0,5.0,,0.0,,Extrovert,0.2975280030899974,1.8
6582,2.0,8.0,3.0,11.0,,,0.0,Extrovert,0.29752800309000094,1.8
10214,3.0,6.0,5.0,14.0,,0.0,,Extrovert,0.29752800309000094,1.8
3492,3.0,8.0,6.0,,4.0,,0.0,Extrovert,0.3311581759206277,1.8
