orig_idx,syn_id,syn_source,orig_personality,syn_personality,match
32,14883,train,Introvert,Extrovert,False
69,1845,train,Introvert,Extrovert,False
90,7566,train,Introvert,Extrovert,False
169,18148,train,Introvert,Extrovert,False
224,12880,train,Introvert,Extrovert,False
240,11962,train,Introvert,Extrovert,False
252,5041,train,Introvert,Extrovert,False
291,23655,test,Introvert,,False
344,7576,train,Extrovert,Introvert,False
408,20531,test,Extrovert,,False
419,19997,test,Extrovert,,False
422,21648,test,Extrovert,,False
423,22356,test,Extrovert,,False
427,102,train,Introvert,Extrovert,False
440,9762,train,Introvert,Extrovert,False
522,4046,train,Introvert,Extrovert,False
533,4775,train,Introvert,Extrovert,False
545,22711,test,Extrovert,,False
558,2695,train,Extrovert,Introvert,False
567,23817,test,Introvert,,False
571,22424,test,Introvert,,False
582,17892,train,Introvert,Extrovert,False
617,15683,train,Extrovert,Introvert,False
622,13897,train,Introvert,Extrovert,False
630,9115,train,Extrovert,Introvert,False
647,20240,test,Extrovert,,False
671,22481,test,Introvert,,False
699,5048,train,Extrovert,Introvert,False
720,10829,train,Introvert,Extrovert,False
777,7210,train,Introvert,Extrovert,False
790,6814,train,Introvert,Extrovert,False
797,9849,train,Introvert,Extrovert,False
815,20659,test,Introvert,,False
816,15542,train,Extrovert,Introvert,False
873,22182,test,Extrovert,,False
882,9321,train,Extrovert,Introvert,False
883,16164,train,Introvert,Extrovert,False
888,9995,train,Extrovert,Introvert,False
892,10134,train,Extrovert,Introvert,False
912,7656,train,Introvert,Extrovert,False
926,336,train,Introvert,Extrovert,False
932,7798,train,Introvert,Extrovert,False
950,14891,train,Introvert,Extrovert,False
977,14156,train,Extrovert,Introvert,False
984,17309,train,Introvert,Extrovert,False
1003,19301,test,Introvert,,False
1041,9073,train,Introvert,Extrovert,False
1048,688,train,Extrovert,Introvert,False
1137,12002,train,Extrovert,Introvert,False
1143,11809,train,Introvert,Extrovert,False
1164,14296,train,Introvert,Extrovert,False
1169,5484,train,Introvert,Extrovert,False
1185,18071,train,Introvert,Extrovert,False
1192,18970,test,Introvert,,False
1196,1928,train,Extrovert,Introvert,False
1198,1582,train,Introvert,Extrovert,False
1199,23750,test,Introvert,,False
1207,24493,test,Extrovert,,False
1211,8456,train,Extrovert,Introvert,False
1245,877,train,Extrovert,Introvert,False
1254,13792,train,Extrovert,Introvert,False
1269,15378,train,Extrovert,Introvert,False
1306,8752,train,Introvert,Extrovert,False
1366,14310,train,Extrovert,Introvert,False
1373,13555,train,Introvert,Extrovert,False
1404,4125,train,Introvert,Extrovert,False
1407,4483,train,Extrovert,Introvert,False
1431,4427,train,Introvert,Extrovert,False
1435,11949,train,Extrovert,Introvert,False
1439,14803,train,Introvert,Extrovert,False
1456,655,train,Introvert,Extrovert,False
1486,9178,train,Extrovert,Introvert,False
1506,21266,test,Introvert,,False
1526,4856,train,Extrovert,Introvert,False
1529,10507,train,Extrovert,Introvert,False
1546,24008,test,Extrovert,,False
1552,1152,train,Introvert,Extrovert,False
1581,18016,train,Introvert,Extrovert,False
1661,2511,train,Extrovert,Introvert,False
1668,13727,train,Introvert,Extrovert,False
1682,14813,train,Introvert,Extrovert,False
1717,17445,train,Introvert,Extrovert,False
1721,18089,train,Extrovert,Introvert,False
1747,2481,train,Introvert,Extrovert,False
1839,5761,train,Introvert,Extrovert,False
1847,6593,train,Extrovert,Introvert,False
1859,15752,train,Introvert,Extrovert,False
1860,15500,train,Introvert,Extrovert,False
1884,11524,train,Extrovert,Introvert,False
1892,8057,train,Introvert,Extrovert,False
1897,13639,train,Introvert,Extrovert,False
1912,14795,train,Extrovert,Introvert,False
1916,5282,train,Introvert,Extrovert,False
1939,12880,train,Introvert,Extrovert,False
1966,13688,train,Introvert,Extrovert,False
1999,19135,test,Introvert,,False
2003,14415,train,Introvert,Extrovert,False
2007,19135,test,Introvert,,False
2010,14148,train,Introvert,Extrovert,False
2029,5689,train,Introvert,Extrovert,False
