Cluster,Size,Pct_Extrovert,Guessed_Type,E_I,S_N,T_F,J_P
13,142,1.4084507042253522,INFP,-0.589788732394366,-1.2563380281690133,-0.5499999999999986,-0.18963866318081457
14,69,2.898550724637681,INFP,-0.2757551352389331,-0.7328362562885419,-0.5499999999999999,-0.4562408624912546
1,504,3.1746031746031744,INFP,-0.35746003571968765,-0.8752074758542989,-0.5500000000000052,-0.18553183232554576
8,677,3.5450516986706058,INFP,-0.27863216981873595,-0.9453994572450699,-0.6499999999999928,-0.20537411120511995
11,1764,6.065759637188209,INFP,-0.27728983821102376,-0.6835217907934638,-0.799999999999974,-0.34717091924364707
6,1551,6.382978723404255,INFP,-0.3900174123381238,-1.1013695485117314,-0.7999999999999766,-0.2389685286277855
4,102,41.17647058823529,INFP,-0.02077802133650651,-0.7914459748009003,-0.36666666666666636,-0.306190340801388
5,1065,97.1830985915493,ENTP,0.7310229679496174,-0.39735422838383333,0.19999999999999665,-0.364887964824881
10,2411,97.26254666113647,ENTP,0.6158797949714433,-0.42274815940396704,0.0,-0.17974091645901422
15,373,97.58713136729223,ENFP,0.6094748464445022,-0.48783203101453027,-0.14999999999999905,-0.3288063158439981
9,7070,97.72277227722772,ENTP,0.7705999855891892,-0.5936903791728738,0.0,-0.43328165517342493
2,45,97.77777777777777,ENTP,0.6494936882010396,-0.41777777777777786,0.05,-0.3312810460639048
3,1012,97.82608695652173,ENFP,0.7403017013266343,-0.4924613854364626,-0.25,-0.344504660946339
0,1601,98.87570268582137,ENTP,0.6315789857619196,-0.11471504315662841,0.0,-0.2739759953707196
7,123,99.1869918699187,ENFP,0.7450659496210745,-0.41138211382113826,-0.049999999999999885,-0.3534756854819243
12,15,100.0,ENTP,0.5325503536285362,-0.28176737392373924,0.05000000000000001,-0.3577897965805184
