idx,uncertainty,mean_impact,std_impact,label,confidence
63,1.5,0.0,0.0,Extrovert,0.0
124,1.5,0.0,0.0,Introvert,0.0
272,1.5,0.0,0.0,Introvert,0.0
503,1.5,0.0,0.0,Extrovert,0.0
547,1.5,0.0,0.0,Introvert,0.0
559,1.5,0.0,0.0,Extrovert,0.0
561,1.5,0.0,0.0,Introvert,0.0
655,1.5,0.0,0.0,Extrovert,0.0
737,1.5,0.0,0.0,Extrovert,0.0
738,1.5,0.0,0.0,Introvert,0.0
869,1.5,0.0,0.0,Extrovert,0.0
877,1.5,0.0,0.0,Introvert,0.0
946,1.5,0.0,0.0,Extrovert,0.0
1211,1.5,0.0,0.0,Introvert,0.0
1460,1.5,0.0,0.0,Introvert,0.0
1499,1.5,0.0,0.0,Introvert,0.0
1511,1.5,0.0,0.0,Introvert,0.0
1585,1.5,0.0,0.0,Introvert,0.0
1703,1.5,0.0,0.0,Introvert,0.0
1725,1.5,0.0,0.0,Introvert,0.0
