id,model_binary,model_external
19014,Extrovert,Introvert
19482,Introvert,Extrovert
19612,Introvert,Extrovert
19637,Extrovert,Introvert
19668,Introvert,Extrovert
20033,Extrovert,Introvert
20147,Extrovert,Introvert
20153,Extrovert,Introvert
20285,Introvert,Extrovert
20363,Introvert,Extrovert
20492,Extrovert,Introvert
20519,Extrovert,Introvert
20541,Introvert,Extrovert
20728,Extrovert,Introvert
20934,Extrovert,Introvert
20944,Extrovert,Introvert
20950,Introvert,Extrovert
21138,Extrovert,Introvert
21359,Introvert,Extrovert
21800,Introvert,Extrovert
21932,Introvert,Extrovert
22049,Introvert,Extrovert
22291,Introvert,Extrovert
22348,Extrovert,Introvert
22482,Extrovert,Introvert
22537,Extrovert,Introvert
22667,Extrovert,Introvert
22719,Introvert,Extrovert
22843,Introvert,Extrovert
23087,Introvert,Extrovert
23097,Extrovert,Introvert
23177,Extrovert,Introvert
23336,Introvert,Extrovert
23395,Extrovert,Introvert
23418,Introvert,Extrovert
23631,Extrovert,Introvert
23814,Introvert,Extrovert
23820,Extrovert,Introvert
23844,Introvert,Extrovert
23862,Extrovert,Introvert
23865,Introvert,Extrovert
24011,Extrovert,Introvert
24294,Introvert,Extrovert
24365,Extrovert,Introvert
24490,Introvert,Extrovert
24573,Extrovert,Introvert
