id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,uncertainty_score,assigned_cluster
19,1.0,0.0,5.265106088560886,5.0,0.0,10.0,3.0,Extrovert,0.0108459553904936,1
113,0.0,0.0,10.0,4.0,0.0,9.0,8.0,Extrovert,0.02580342001077507,1
153,0.0,0.5,6.0,3.0,0.0,10.0,3.0,Extrovert,0.026142164371182997,2
161,3.1377639321564557,0.0,6.0,5.0,0.0,10.0,3.0,Extrovert,0.026665779162009073,2
218,3.0,0.5,9.0,6.0,0.0,9.0,6.0,Extrovert,0.026824685185096397,1
308,1.0,0.0,5.0,3.0,0.0,10.0,6.0,Extrovert,0.0087125260581844,1
315,2.0,0.0,6.0,3.0,0.0,10.0,4.0,Extrovert,0.02159577774625232,2
329,2.0,0.0,5.0,3.0,0.0,10.0,4.982097334878332,Extrovert,0.010795749555830847,1
367,3.1377639321564557,0.0,5.0,5.0,0.0,10.0,5.0,Extrovert,0.0014462868919575822,2
378,0.0,0.0,5.0,4.0,0.0,10.0,5.0,Extrovert,0.018152835861455996,1
387,1.0,0.0,4.0,4.0,0.0,10.0,9.0,Extrovert,0.02091499580205336,1
389,0.0,0.0,5.0,7.0,0.0,10.0,4.982097334878332,Extrovert,0.0055252720408922595,1
406,3.1377639321564557,0.0,5.0,5.0,0.0,10.0,9.0,Extrovert,0.02665112768323974,2
411,3.0,0.0,5.0,6.0,0.0,10.0,5.0,Extrovert,0.004466589308789182,2
465,4.0,0.0,4.0,7.0,0.0,10.0,4.0,Extrovert,0.025053747007448557,1
466,2.0,0.0,10.0,6.0,0.0,9.0,9.0,Extrovert,0.008643439455236823,1
521,0.0,0.0,4.0,4.0,0.0,10.0,10.0,Extrovert,0.015843768536903946,1
563,3.1377639321564557,0.0,6.0,3.0,0.0,10.0,5.0,Extrovert,0.03469971235283653,2
572,2.0,0.0,5.0,6.0,0.0,10.0,6.0,Extrovert,0.008084103578948287,2
608,1.0,0.0,5.265106088560886,5.0,0.0,10.0,5.0,Extrovert,0.003115313773275452,2
671,1.0,0.0,6.0,3.0,0.0,10.0,4.0,Extrovert,0.01705752678404382,2
675,2.0,0.0,6.0,3.0,0.5,10.0,3.0,Extrovert,0.01623314187881597,2
721,3.0,0.5,4.0,6.0,0.0,10.0,6.0,Extrovert,0.002740717053551611,2
723,3.0,0.0,5.0,3.0,0.0,10.0,8.0,Extrovert,0.012443965560719583,2
752,1.0,0.0,5.265106088560886,5.0,0.0,10.0,6.0,Extrovert,0.014191022948415788,2
908,0.0,0.0,5.0,3.0,0.0,10.0,5.0,Extrovert,0.01798964626956856,1
940,1.0,0.5,4.0,7.0,0.0,10.0,3.0,Extrovert,0.01357078432666503,1
945,10.0,0.0,3.0,3.0,0.0,5.0,3.0,Extrovert,0.0037106026722568686,0
958,1.0,0.0,5.0,4.0,0.0,10.0,4.0,Extrovert,0.019809229011773732,1
976,2.0,0.0,5.265106088560886,5.0,0.0,10.0,7.0,Extrovert,0.0313584012637097,2
978,1.0,0.0,5.0,6.0,0.0,10.0,8.0,Extrovert,0.0163645832025181,2
1020,3.0,0.0,6.0,3.0,0.0,10.0,3.0,Extrovert,0.016290843964577695,2
1158,3.0,0.0,5.0,3.0,0.0,10.0,4.982097334878332,Extrovert,0.006044391145917816,1
1182,3.0,0.0,5.0,7.0,0.0,10.0,4.982097334878332,Extrovert,0.00651562725409649,2
1184,4.0,0.0,9.0,7.0,0.0,9.0,10.0,Extrovert,0.01997426708456773,1
1204,5.0,0.0,5.0,3.0,0.0,10.0,8.0,Extrovert,0.01692294195339472,2
1218,2.0,0.0,5.0,4.044319380935631,0.0,10.0,4.0,Extrovert,0.015237928222728403,1
1247,3.0,0.0,5.0,4.0,0.0,10.0,4.982097334878332,Extrovert,0.0035212712747878516,1
1308,1.0,0.0,5.0,4.0,0.5,10.0,4.0,Extrovert,0.00813840177722569,1
1402,1.0,0.0,4.0,7.0,0.0,10.0,6.0,Extrovert,0.03021656268493933,1
1423,0.0,0.0,5.265106088560886,4.0,0.0,10.0,5.0,Extrovert,0.006558703703852586,1
1427,0.0,0.0,5.0,4.0,0.0,10.0,4.982097334878332,Extrovert,0.01825419724775057,1
1464,3.0,0.0,4.0,5.0,0.5,10.0,7.0,Extrovert,0.014163994670761237,1
1475,2.0,0.0,6.0,4.0,0.5,10.0,4.982097334878332,Extrovert,0.03703374842916651,2
1478,3.0,0.0,10.0,6.0,0.0,9.0,9.0,Extrovert,0.005338065210874099,1
1483,0.0,0.0,5.0,4.0,0.0,10.0,9.0,Extrovert,0.009301155846003217,2
1518,3.0,0.0,9.0,7.0,0.0,9.0,10.0,Extrovert,0.023662300511534173,1
1572,0.0,0.0,5.0,4.044319380935631,0.0,10.0,9.0,Extrovert,0.009472722480291962,2
