id,personality,probability
0,Extrovert,0.9710901
16385,Introvert,0.18889932
2,Introvert,0.014572126
8193,Extrovert,0.98235404
8195,Extrovert,0.95841074
4,Extrovert,0.9934267
16387,Introvert,0.030168591
7,Extrovert,0.99109745
8196,Extrovert,0.21533966
16393,Introvert,0.05440345
16395,Extrovert,0.9792484
8204,Extrovert,0.25529048
13,Extrovert,0.98019236
8207,Introvert,0.101470366
16399,Introvert,0.06486455
17,Introvert,0.015081968
16400,Introvert,0.9922516
16403,Extrovert,0.9096184
8217,Extrovert,0.9809316
8219,Introvert,0.026823338
28,Extrovert,0.9871405
16414,Extrovert,0.98446435
8223,Extrovert,0.9883138
8224,Introvert,0.052802872
33,Extrovert,0.95765996
16418,Extrovert,0.98776627
8227,Extrovert,0.32854104
8229,Extrovert,0.9860497
16422,Introvert,0.091757394
8233,Introvert,0.94892627
8234,Introvert,0.027293574
41,Extrovert,0.95482063
44,Introvert,0.12756026
8237,Extrovert,0.9913645
16431,Introvert,0.10713834
16434,Extrovert,0.059251264
51,Extrovert,0.95558995
16436,Introvert,0.12286208
16435,Extrovert,0.88113946
16438,Extrovert,0.95797884
55,Introvert,0.02609711
54,Introvert,0.03834601
16442,Introvert,0.05382437
58,Introvert,0.039729398
8254,Introvert,0.039575346
16447,Extrovert,0.9731226
8256,Extrovert,0.99013937
63,Extrovert,0.10045646
8258,Extrovert,0.98171735
8260,Extrovert,0.9010811
16452,Extrovert,0.9731226
8262,Introvert,0.042825673
8263,Introvert,0.066288926
16456,Introvert,0.05426393
16457,Extrovert,0.97978896
8264,Introvert,0.26013902
75,Extrovert,0.9526827
16459,Extrovert,0.9870631
76,Introvert,0.02677119
77,Introvert,0.026305031
8274,Extrovert,0.9364691
16467,Introvert,0.07213684
8276,Introvert,0.9540538
8279,Extrovert,0.9478287
16473,Extrovert,0.11019504
90,Extrovert,0.986053
8284,Extrovert,0.06263704
93,Extrovert,0.96800184
8285,Extrovert,0.9816135
16479,Extrovert,0.99142444
16482,Extrovert,0.9445654
99,Extrovert,0.98633516
8292,Extrovert,0.9811157
101,Extrovert,0.9519834
16485,Extrovert,0.9886585
102,Extrovert,0.11203729
16487,Extrovert,0.94725627
8295,Extrovert,0.9571857
16490,Introvert,0.13067874
8299,Extrovert,0.98203915
108,Extrovert,0.9121767
8301,Extrovert,0.982304
8302,Extrovert,0.94833297
112,Extrovert,0.9865367
8305,Introvert,0.063830495
114,Introvert,0.0885371
8307,Extrovert,0.94624645
16500,Extrovert,0.98446864
16501,Extrovert,0.97920746
117,Extrovert,0.9215326
16503,Introvert,0.016404971
16502,Introvert,0.1005868
122,Introvert,0.028107394
124,Introvert,0.93954194
8317,Extrovert,0.98991627
8318,Introvert,0.9829144
127,Extrovert,0.973215
16513,Introvert,0.04303692
16516,Introvert,0.016571887
8325,Introvert,0.03578188
8326,Introvert,0.27684405
16519,Extrovert,0.9829374
16521,Introvert,0.09311533
8330,Extrovert,0.97952497
8331,Introvert,0.052101504
8332,Extrovert,0.9599729
16523,Extrovert,0.9921291
139,Extrovert,0.13891485
8335,Introvert,0.026412029
16531,Introvert,0.16776924
8340,Extrovert,0.9692617
8341,Extrovert,0.9639646
149,Introvert,0.9692115
16535,Introvert,0.083424434
8345,Extrovert,0.97044957
154,Extrovert,0.9738428
156,Introvert,0.056480266
158,Introvert,0.04842629
8350,Introvert,0.98018587
16545,Extrovert,0.9859973
8355,Introvert,0.10801418
163,Introvert,0.03457325
8359,Extrovert,0.97384316
168,Introvert,0.067018785
169,Introvert,0.042796224
8361,Extrovert,0.9590328
16555,Extrovert,0.97443885
8367,Extrovert,0.9631548
175,Extrovert,0.96286035
8369,Introvert,0.0510504
8370,Extrovert,0.9883138
179,Introvert,0.04713622
16564,Extrovert,0.94687146
8372,Extrovert,0.98483
16566,Introvert,0.033879455
183,Extrovert,0.9495651
16568,Extrovert,0.9805094
184,Extrovert,0.98181355
8377,Introvert,0.97046286
16571,Extrovert,0.9954059
16572,Extrovert,0.9867597
16573,Extrovert,0.9584243
187,Introvert,0.04373283
190,Introvert,0.06537077
16574,Extrovert,0.9776519
8385,Extrovert,0.9673465
193,Extrovert,0.97897345
16577,Introvert,0.044317216
16580,Introvert,0.07105827
8386,Extrovert,0.2898652
8391,Extrovert,0.96415263
200,Extrovert,0.993818
8394,Introvert,0.9642688
203,Extrovert,0.9557659
8395,Introvert,0.06965572
16589,Extrovert,0.9722713
16588,Extrovert,0.9484374
207,Extrovert,0.9846415
8399,Extrovert,0.86051905
16592,Extrovert,0.97490966
