id,group,Personality,has_missing
0,Removed,Extrovert,False
1,Kept,Extrovert,False
2,Removed,Introvert,False
3,Kept,Extrovert,False
4,Removed,Extrovert,True
5,Kept,Extrovert,True
6,Kept,Extrovert,True
7,Removed,Extrovert,False
8,Kept,Introvert,False
9,Kept,Extrovert,False
10,Kept,Extrovert,False
11,Kept,Extrovert,False
12,Kept,Extrovert,False
13,Removed,Extrovert,True
14,Kept,Extrovert,True
15,Kept,Extrovert,True
16,Kept,Extrovert,False
17,Removed,Introvert,False
18,Kept,Extrovert,False
19,Kept,Extrovert,True
20,Kept,Extrovert,False
21,Kept,Introvert,False
22,Kept,Introvert,False
23,Kept,Extrovert,False
24,Kept,Extrovert,False
25,Kept,Introvert,False
26,Kept,Extrovert,False
27,Kept,Introvert,False
28,Removed,Extrovert,True
29,Kept,Introvert,True
30,Kept,Extrovert,False
31,Kept,Extrovert,True
32,Kept,Extrovert,False
33,Removed,Extrovert,False
34,Kept,Introvert,False
35,Kept,Introvert,False
36,Kept,Extrovert,True
37,Kept,Extrovert,False
38,Kept,Extrovert,False
39,Kept,Extrovert,False
40,Kept,Extrovert,False
41,Removed,Extrovert,True
42,Kept,Extrovert,False
43,Kept,Extrovert,False
44,Removed,Introvert,False
45,Kept,Extrovert,True
46,Kept,Extrovert,False
47,Kept,Extrovert,False
48,Kept,Introvert,True
49,Kept,Extrovert,False
50,Kept,Introvert,True
51,Removed,Extrovert,False
52,Kept,Extrovert,False
53,Kept,Introvert,False
54,Removed,Introvert,True
55,Removed,Introvert,True
56,Kept,Extrovert,False
57,Kept,Extrovert,False
58,Removed,Introvert,True
59,Kept,Extrovert,False
60,Kept,Introvert,False
61,Kept,Extrovert,False
62,Kept,Extrovert,True
63,Removed,Extrovert,True
64,Kept,Introvert,False
65,Kept,Introvert,False
66,Kept,Extrovert,False
67,Kept,Extrovert,True
68,Kept,Introvert,False
69,Kept,Introvert,True
70,Kept,Extrovert,False
71,Kept,Extrovert,False
72,Kept,Extrovert,False
73,Kept,Extrovert,False
74,Kept,Extrovert,False
75,Removed,Extrovert,False
76,Removed,Introvert,False
77,Removed,Introvert,False
78,Kept,Extrovert,False
79,Kept,Extrovert,False
80,Kept,Extrovert,True
81,Kept,Extrovert,False
82,Kept,Extrovert,False
83,Kept,Introvert,True
84,Kept,Extrovert,False
85,Kept,Extrovert,False
86,Kept,Extrovert,False
87,Kept,Introvert,False
88,Kept,Extrovert,True
89,Kept,Extrovert,False
90,Removed,Extrovert,True
91,Kept,Extrovert,False
92,Kept,Introvert,False
93,Removed,Extrovert,True
94,Kept,Extrovert,False
95,Kept,Extrovert,False
96,Kept,Introvert,False
97,Kept,Introvert,False
98,Kept,Extrovert,False
99,Removed,Extrovert,True
100,Kept,Extrovert,False
101,Removed,Extrovert,False
102,Removed,Extrovert,False
103,Kept,Extrovert,False
104,Kept,Extrovert,True
105,Kept,Introvert,False
106,Kept,Extrovert,False
107,Kept,Extrovert,True
108,Removed,Extrovert,False
109,Kept,Extrovert,False
110,Kept,Extrovert,False
111,Kept,Extrovert,False
112,Removed,Extrovert,False
113,Kept,Extrovert,False
114,Removed,Introvert,False
115,Kept,Extrovert,False
116,Kept,Extrovert,False
117,Removed,Extrovert,False
118,Kept,Extrovert,False
119,Kept,Introvert,True
120,Kept,Extrovert,True
121,Kept,Introvert,True
122,Removed,Introvert,False
123,Kept,Introvert,True
124,Removed,Introvert,False
125,Kept,Extrovert,False
126,Kept,Extrovert,False
127,Removed,Extrovert,False
128,Kept,Extrovert,False
129,Kept,Extrovert,True
130,Kept,Introvert,True
131,Kept,Extrovert,False
132,Kept,Extrovert,True
133,Kept,Extrovert,False
134,Kept,Extrovert,False
135,Kept,Extrovert,False
136,Kept,Extrovert,False
137,Kept,Extrovert,False
138,Kept,Extrovert,True
139,Removed,Extrovert,False
140,Kept,Extrovert,False
141,Kept,Extrovert,False
142,Kept,Extrovert,False
143,Kept,Extrovert,False
144,Kept,Extrovert,False
145,Kept,Extrovert,True
146,Kept,Extrovert,True
147,Kept,Introvert,True
148,Kept,Extrovert,False
149,Removed,Introvert,True
150,Kept,Introvert,True
151,Kept,Introvert,False
152,Kept,Introvert,True
153,Kept,Extrovert,False
154,Removed,Extrovert,False
155,Kept,Introvert,True
156,Removed,Introvert,False
157,Kept,Extrovert,False
158,Removed,Introvert,True
159,Kept,Introvert,False
160,Kept,Extrovert,True
161,Kept,Extrovert,True
162,Kept,Extrovert,False
163,Removed,Introvert,False
164,Kept,Extrovert,False
165,Kept,Introvert,True
166,Kept,Extrovert,False
167,Kept,Extrovert,False
168,Removed,Introvert,True
169,Removed,Introvert,False
170,Kept,Extrovert,True
171,Kept,Extrovert,True
172,Kept,Extrovert,False
173,Kept,Extrovert,False
174,Kept,Extrovert,False
175,Removed,Extrovert,False
176,Kept,Extrovert,True
177,Kept,Extrovert,True
178,Kept,Extrovert,False
179,Removed,Introvert,False
180,Kept,Introvert,True
181,Kept,Extrovert,False
182,Kept,Introvert,False
183,Removed,Extrovert,True
184,Removed,Extrovert,False
185,Kept,Extrovert,False
186,Kept,Extrovert,True
187,Removed,Introvert,False
188,Kept,Extrovert,False
189,Kept,Introvert,True
190,Removed,Introvert,False
191,Kept,Extrovert,True
192,Kept,Extrovert,False
193,Removed,Extrovert,True
194,Kept,Extrovert,False
195,Kept,Extrovert,True
196,Kept,Extrovert,False
197,Kept,Extrovert,False
198,Kept,Extrovert,False
199,Kept,Extrovert,True
200,Removed,Extrovert,True
201,Kept,Extrovert,True
202,Kept,Extrovert,False
203,Removed,Extrovert,False
204,Kept,Extrovert,False
205,Kept,Introvert,True
206,Kept,Extrovert,False
207,Removed,Extrovert,True
208,Kept,Extrovert,True
209,Kept,Extrovert,False
210,Removed,Introvert,False
211,Removed,Introvert,True
212,Kept,Extrovert,True
213,Kept,Introvert,False
214,Removed,Introvert,False
215,Kept,Extrovert,True
216,Kept,Introvert,False
217,Kept,Extrovert,True
218,Kept,Extrovert,False
219,Kept,Extrovert,True
220,Kept,Introvert,False
221,Kept,Extrovert,True
222,Kept,Extrovert,False
223,Kept,Extrovert,False
224,Kept,Extrovert,False
225,Kept,Extrovert,False
226,Kept,Extrovert,False
227,Kept,Extrovert,False
228,Kept,Extrovert,False
229,Kept,Extrovert,True
230,Kept,Extrovert,False
231,Kept,Extrovert,True
232,Kept,Introvert,False
233,Kept,Extrovert,False
234,Kept,Introvert,True
235,Kept,Extrovert,False
236,Kept,Introvert,False
237,Kept,Extrovert,False
238,Kept,Introvert,True
239,Removed,Introvert,False
240,Kept,Extrovert,False
241,Kept,Introvert,False
242,Removed,Extrovert,True
243,Kept,Extrovert,False
244,Kept,Extrovert,False
245,Removed,Introvert,False
246,Kept,Extrovert,False
247,Kept,Extrovert,True
248,Removed,Extrovert,False
249,Removed,Introvert,False
250,Kept,Extrovert,False
251,Kept,Extrovert,False
252,Removed,Introvert,False
253,Kept,Extrovert,False
254,Kept,Extrovert,True
255,Removed,Extrovert,False
256,Kept,Extrovert,False
257,Kept,Extrovert,True
258,Kept,Extrovert,False
259,Kept,Introvert,False
260,Kept,Introvert,True
261,Kept,Extrovert,False
262,Kept,Introvert,True
263,Kept,Introvert,True
264,Kept,Extrovert,False
265,Removed,Introvert,False
266,Kept,Extrovert,False
