id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,Stage_fear_enc,Drained_enc,is_introvert,issue,typicality_score
139,11.0,,2.0,2.0,Yes,2.0,2.0,Extrovert,,1.0,0,extreme_intro_as_extro,
503,11.0,Yes,1.0,2.0,,3.0,1.0,Extrovert,1.0,,0,extreme_intro_as_extro,
518,11.0,Yes,1.0,1.0,Yes,4.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
651,11.0,Yes,2.0,3.0,Yes,4.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
1041,11.0,Yes,0.0,1.0,Yes,0.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
1203,9.0,Yes,2.0,2.0,Yes,0.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
1555,11.0,Yes,0.0,5.0,Yes,2.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
1737,8.0,Yes,1.0,3.0,Yes,2.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
1944,8.0,No,0.0,1.0,Yes,4.0,2.0,Extrovert,0.0,1.0,0,extreme_intro_as_extro,
2029,8.0,Yes,1.0,2.0,Yes,2.0,,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
2192,10.0,Yes,2.0,,No,1.0,1.0,Extrovert,1.0,0.0,0,extreme_intro_as_extro,
2234,10.0,Yes,1.0,2.0,Yes,2.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
2553,9.0,No,2.0,3.0,Yes,3.0,1.0,Extrovert,0.0,1.0,0,extreme_intro_as_extro,
2613,9.0,Yes,2.0,2.0,Yes,2.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
2751,10.0,Yes,1.0,0.0,Yes,2.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
3021,10.0,Yes,1.0,1.0,Yes,4.0,,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
3470,8.0,Yes,1.0,3.0,Yes,5.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
3743,11.0,Yes,1.0,3.0,Yes,4.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
4117,8.0,Yes,1.0,1.0,Yes,0.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
4252,9.0,Yes,2.0,0.0,Yes,3.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
4427,11.0,Yes,2.0,0.0,Yes,4.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
4516,8.0,Yes,1.0,3.0,Yes,4.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
5041,9.0,Yes,1.0,2.0,Yes,3.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
5992,8.0,Yes,0.0,1.0,Yes,3.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
6605,10.0,Yes,1.0,2.0,,2.0,0.0,Extrovert,1.0,,0,extreme_intro_as_extro,
6759,9.0,Yes,0.0,2.0,,5.0,1.0,Extrovert,1.0,,0,extreme_intro_as_extro,
7075,10.0,Yes,1.0,2.0,Yes,0.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
7696,10.0,Yes,1.0,1.0,Yes,5.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
7759,9.0,Yes,1.0,0.0,Yes,4.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
7829,11.0,Yes,2.0,,Yes,0.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
8291,10.0,Yes,0.0,2.0,Yes,3.0,,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
8440,9.0,Yes,2.0,2.0,Yes,4.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
8688,8.0,Yes,2.0,0.0,Yes,3.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
8760,10.0,Yes,2.0,0.0,Yes,3.0,,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
9018,10.0,Yes,0.0,1.0,,3.0,0.0,Extrovert,1.0,,0,extreme_intro_as_extro,
9311,11.0,,0.0,0.0,Yes,4.0,1.0,Extrovert,,1.0,0,extreme_intro_as_extro,
9521,11.0,Yes,2.0,3.0,Yes,4.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
10022,8.0,Yes,1.0,3.0,Yes,4.0,,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
10027,9.0,Yes,1.0,0.0,Yes,3.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
10149,8.0,Yes,1.0,2.0,,1.0,2.0,Extrovert,1.0,,0,extreme_intro_as_extro,
10752,8.0,Yes,2.0,,Yes,2.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
10761,9.0,Yes,2.0,0.0,Yes,1.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
10801,8.0,Yes,2.0,1.0,Yes,2.0,,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
10834,8.0,Yes,2.0,2.0,Yes,0.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
10854,9.0,,0.0,2.0,Yes,2.0,2.0,Extrovert,,1.0,0,extreme_intro_as_extro,
10888,11.0,Yes,1.0,3.0,Yes,5.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
11046,11.0,Yes,2.0,0.0,,3.0,2.0,Extrovert,1.0,,0,extreme_intro_as_extro,
11546,8.0,Yes,0.0,0.0,Yes,1.0,,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
11557,9.0,Yes,1.0,,Yes,3.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
11875,11.0,Yes,1.0,1.0,,0.0,2.0,Extrovert,1.0,,0,extreme_intro_as_extro,
11937,10.0,,2.0,2.0,Yes,2.0,2.0,Extrovert,,1.0,0,extreme_intro_as_extro,
12385,9.0,Yes,2.0,3.0,Yes,3.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
12412,8.0,Yes,0.0,3.0,Yes,3.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
12439,8.0,Yes,0.0,1.0,Yes,1.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
12483,10.0,Yes,2.0,0.0,Yes,1.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
12880,9.0,Yes,0.0,2.0,Yes,2.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
12907,10.0,Yes,0.0,1.0,Yes,1.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
13033,9.0,Yes,2.0,2.0,Yes,4.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
13225,11.0,Yes,0.0,0.0,Yes,0.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
13344,11.0,Yes,1.0,2.0,Yes,3.0,0.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
13395,11.0,Yes,1.0,0.0,Yes,0.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
13444,9.0,Yes,0.0,1.0,,4.0,1.0,Extrovert,1.0,,0,extreme_intro_as_extro,
13468,9.0,Yes,0.0,1.0,No,3.0,,Extrovert,1.0,0.0,0,extreme_intro_as_extro,
14188,11.0,Yes,2.0,2.0,Yes,1.0,1.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
14256,10.0,Yes,0.0,2.0,Yes,3.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
14813,9.0,Yes,0.0,0.0,Yes,4.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
14837,8.0,Yes,2.0,1.0,,2.0,2.0,Extrovert,1.0,,0,extreme_intro_as_extro,
15131,11.0,Yes,1.0,3.0,Yes,4.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
15648,11.0,Yes,1.0,3.0,Yes,2.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
15908,10.0,Yes,1.0,,Yes,1.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
16165,11.0,Yes,2.0,1.0,Yes,4.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
17143,10.0,,2.0,0.0,Yes,5.0,2.0,Extrovert,,1.0,0,extreme_intro_as_extro,
17386,9.0,Yes,1.0,2.0,Yes,0.0,6.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
17678,10.0,Yes,2.0,3.0,Yes,0.0,2.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
17750,9.0,Yes,1.0,1.0,Yes,5.0,3.0,Extrovert,1.0,1.0,0,extreme_intro_as_extro,
