Time_spent_Alone,Social_event_attendance,Friends_circle_size,Going_outside,Post_frequency,Personality,Stage_fear,Drained_after_socializing,id
2,6,10,5,6,Extrovert,No,No,100000
2,6,9,5,6,Extrovert,No,No,100001
7,2,4,2,2,Introvert,Yes,Yes,100002
7,2,4,2,2,Introvert,Yes,Yes,100003
2,6,9,5,6,Extrovert,No,No,100004
7,2,3,2,2,Introvert,Yes,Yes,100005
7,2,3,2,2,Introvert,Yes,Yes,100006
2,6,9,5,6,Extrovert,No,No,100007
2,6,10,5,6,Extrovert,No,No,100008
2,6,10,5,6,Extrovert,No,No,100009
7,2,3,2,2,Introvert,Yes,Yes,100010
7,2,4,2,2,Introvert,Yes,Yes,100011
2,6,10,5,6,Extrovert,No,No,100012
7,2,3,2,2,Introvert,Yes,Yes,100013
7,2,3,2,2,Introvert,Yes,Yes,100014
2,6,9,5,6,Extrovert,No,No,100015
7,2,3,2,2,Introvert,Yes,Yes,100016
2,6,9,5,6,Extrovert,No,No,100017
2,6,9,5,6,Extrovert,No,No,100018
7,2,4,2,2,Introvert,Yes,Yes,100019
7,2,4,2,2,Introvert,Yes,Yes,100020
2,6,9,5,6,Extrovert,No,No,100021
2,6,9,5,6,Extrovert,No,No,100022
7,2,4,2,2,Introvert,Yes,Yes,100023
2,6,10,5,6,Extrovert,No,No,100024
2,6,10,5,6,Extrovert,No,No,100025
2,6,9,5,6,Extrovert,No,No,100026
7,2,4,2,2,Introvert,Yes,Yes,100027
2,6,9,5,6,Extrovert,No,No,100028
7,2,4,2,2,Introvert,Yes,Yes,100029
7,2,3,2,2,Introvert,Yes,Yes,100030
7,2,4,2,2,Introvert,Yes,Yes,100031
7,2,3,2,2,Introvert,Yes,Yes,100032
7,2,4,2,2,Introvert,Yes,Yes,100033
7,2,3,2,2,Introvert,Yes,Yes,100034
7,2,4,2,2,Introvert,Yes,Yes,100035
2,6,9,5,6,Extrovert,No,No,100036
6,2,4,2,2,Introvert,Yes,Yes,100037
2,6,9,5,6,Extrovert,No,No,100038
2,6,9,5,6,Extrovert,No,No,100039
2,6,9,5,6,Extrovert,No,No,100040
2,6,10,5,6,Extrovert,No,No,100041
7,2,3,2,2,Introvert,Yes,Yes,100042
7,2,4,2,2,Introvert,Yes,Yes,100043
7,2,4,2,2,Introvert,Yes,Yes,100044
2,6,9,5,6,Extrovert,No,No,100045
2,6,9,5,6,Extrovert,No,No,100046
7,2,3,2,2,Introvert,Yes,Yes,100047
7,2,4,2,2,Introvert,Yes,Yes,100048
7,2,3,2,2,Introvert,Yes,Yes,100049
7,2,3,2,2,Introvert,Yes,Yes,100050
7,2,4,2,2,Introvert,Yes,Yes,100051
7,2,4,2,2,Introvert,Yes,Yes,100052
7,2,4,2,2,Introvert,Yes,Yes,100053
2,6,9,5,6,Extrovert,No,No,100054
2,6,9,5,6,Extrovert,No,No,100055
7,2,3,2,2,Introvert,Yes,Yes,100056
2,6,9,5,6,Extrovert,No,No,100057
7,2,4,2,2,Introvert,Yes,Yes,100058
2,6,9,5,6,Extrovert,No,No,100059
7,2,4,2,2,Introvert,Yes,Yes,100060
2,6,9,5,6,Extrovert,No,No,100061
2,6,9,5,6,Extrovert,No,No,100062
7,2,4,2,2,Introvert,Yes,Yes,100063
2,6,9,5,6,Extrovert,No,No,100064
7,2,4,2,2,Introvert,Yes,Yes,100065
2,6,10,5,6,Extrovert,No,No,100066
2,6,9,5,6,Extrovert,No,No,100067
7,2,4,2,2,Introvert,Yes,Yes,100068
7,2,4,2,2,Introvert,Yes,Yes,100069
7,2,3,2,2,Introvert,Yes,Yes,100070
7,2,3,2,2,Introvert,Yes,Yes,100071
2,6,9,5,6,Extrovert,No,No,100072
2,6,10,5,6,Extrovert,No,No,100073
7,2,3,2,2,Introvert,Yes,Yes,100074
7,2,3,2,2,Introvert,Yes,Yes,100075
2,6,9,5,6,Extrovert,No,No,100076
7,2,4,2,2,Introvert,Yes,Yes,100077
7,2,4,2,2,Introvert,Yes,Yes,100078
2,6,9,5,6,Extrovert,No,No,100079
2,6,9,5,6,Extrovert,No,No,100080
7,2,4,2,2,Introvert,Yes,Yes,100081
7,2,4,2,2,Introvert,Yes,Yes,100082
7,2,4,2,2,Introvert,Yes,Yes,100083
7,2,3,2,2,Introvert,Yes,Yes,100084
2,6,10,5,6,Extrovert,No,No,100085
2,6,9,5,6,Extrovert,No,No,100086
7,2,3,2,2,Introvert,Yes,Yes,100087
6,3,4,2,2,Introvert,Yes,Yes,100088
7,2,4,2,2,Introvert,Yes,Yes,100089
7,2,3,2,2,Introvert,Yes,Yes,100090
2,6,9,5,6,Extrovert,No,No,100091
7,2,3,2,2,Introvert,Yes,Yes,100092
7,2,4,2,2,Introvert,Yes,Yes,100093
7,2,3,2,2,Introvert,Yes,Yes,100094
2,6,9,5,6,Extrovert,No,No,100095
7,2,4,2,2,Introvert,Yes,Yes,100096
2,6,9,5,6,Extrovert,No,No,100097
2,6,9,5,6,Extrovert,No,No,100098
7,2,3,2,2,Introvert,Yes,Yes,100099
7,2,4,2,2,Introvert,Yes,Yes,100100
2,6,10,5,6,Extrovert,No,No,100101
2,6,9,5,6,Extrovert,No,No,100102
2,6,10,5,6,Extrovert,No,No,100103
2,6,9,5,6,Extrovert,No,No,100104
7,2,4,2,2,Introvert,Yes,Yes,100105
2,6,10,5,6,Extrovert,No,No,100106
7,2,4,2,2,Introvert,Yes,Yes,100107
7,2,4,2,2,Introvert,Yes,Yes,100108
2,6,9,5,6,Extrovert,No,No,100109
2,6,9,5,6,Extrovert,No,No,100110
7,2,4,2,2,Introvert,Yes,Yes,100111
7,2,4,2,2,Introvert,Yes,Yes,100112
2,6,9,5,6,Extrovert,No,No,100113
7,2,4,2,2,Introvert,Yes,Yes,100114
2,6,9,5,6,Extrovert,No,No,100115
