id,probability,uncertainty_score,Time_spent_Alone,Social_event_attendance,Drained_after_socializing,Stage_fear,Going_outside,Friends_circle_size,Post_frequency
23491,0.5048704,0.4951296,11.0,1.0,1.0,1.0,3.0,4.0,0.0
20017,0.5205967,0.47940332,0.0,3.0,1.0,1.0,3.0,5.0,3.0
18878,0.52118343,0.47881657,1.0,6.0,0.0,0.0,5.0,15.0,
23330,0.4786741,0.4786741,5.0,9.0,0.0,0.0,7.0,12.0,5.0
22507,0.5326369,0.46736312,,8.0,0.0,0.0,5.0,12.0,
19774,0.55548805,0.44451195,6.0,9.0,0.0,0.0,3.0,13.0,5.0
23781,0.44390464,0.44390464,,2.0,1.0,1.0,3.0,5.0,0.0
22286,0.568542,0.431458,5.0,7.0,0.0,0.0,7.0,7.0,4.0
20472,0.43085372,0.43085372,6.0,0.0,1.0,,,4.0,2.0
22653,0.42497644,0.42497644,4.0,8.0,0.0,0.0,7.0,3.0,7.0
21800,0.41075018,0.41075018,10.0,3.0,0.0,0.0,4.0,5.0,1.0
23484,0.40812582,0.40812582,11.0,0.0,1.0,1.0,1.0,0.0,2.0
19482,0.59594315,0.40405685,10.0,0.0,1.0,0.0,0.0,1.0,2.0
23569,0.5970765,0.40292352,2.0,6.0,0.0,0.0,6.0,15.0,10.0
21156,0.40239045,0.40239045,3.0,2.0,1.0,1.0,0.0,4.0,1.0
22291,0.6323072,0.36769283,4.0,3.0,0.0,0.0,,2.0,2.0
21073,0.35587722,0.35587722,11.0,1.0,1.0,1.0,3.0,4.0,1.0
22720,0.3557387,0.3557387,2.0,,0.0,0.0,6.0,11.0,10.0
19128,0.64492106,0.35507894,,7.0,0.0,0.0,5.0,11.0,
19768,0.3512841,0.3512841,9.0,0.0,0.0,1.0,0.0,1.0,0.0
18979,0.64961565,0.35038435,2.0,,0.0,0.0,5.0,10.0,10.0
24005,0.34611094,0.34611094,9.0,9.0,0.0,0.0,7.0,12.0,10.0
23336,0.6555415,0.34445852,9.0,2.0,0.0,0.0,4.0,4.0,3.0
20434,0.34160528,0.34160528,5.0,2.0,1.0,1.0,2.0,7.0,1.0
21407,0.6732776,0.32672238,5.0,9.0,0.0,0.0,6.0,13.0,3.0
20730,0.67621756,0.32378244,1.0,6.0,0.0,0.0,6.0,15.0,10.0
20151,0.67867666,0.32132334,,6.0,0.0,0.0,5.0,15.0,6.0
21762,0.30626553,0.30626553,5.0,3.0,1.0,1.0,,,1.0
18876,0.30344346,0.30344346,10.0,,0.0,0.0,6.0,10.0,7.0
23844,0.69667727,0.30332273,11.0,2.0,0.0,0.0,4.0,2.0,3.0
22717,0.6990789,0.30092108,5.0,7.0,0.0,0.0,6.0,11.0,3.0
20934,0.70228446,0.29771554,2.0,2.0,1.0,1.0,3.0,5.0,8.0
21359,0.7036763,0.29632372,11.0,3.0,0.0,0.0,1.0,4.0,2.0
18754,0.70374054,0.29625946,4.0,3.0,0.0,0.0,2.0,3.0,7.0
21103,0.29197484,0.29197484,7.0,0.0,,1.0,1.0,5.0,1.0
20126,0.29002425,0.29002425,11.0,2.0,1.0,1.0,2.0,4.0,3.0
20668,0.7109507,0.28904933,,6.0,0.0,0.0,3.0,15.0,6.0
21358,0.7118421,0.28815788,,8.0,0.0,0.0,6.0,12.0,
18977,0.7120132,0.28798681,5.0,9.0,0.0,0.0,7.0,11.0,3.0
20380,0.7194337,0.28056628,5.0,8.0,0.0,0.0,6.0,10.0,5.0
20725,0.27837628,0.27837628,8.0,1.0,1.0,1.0,5.0,4.0,0.0
23097,0.27543107,0.27543107,5.0,3.0,1.0,1.0,0.0,8.0,3.0
24168,0.7310537,0.2689463,1.0,6.0,0.0,,5.0,15.0,4.0
21821,0.26414308,0.26414308,4.0,2.0,1.0,1.0,1.0,7.0,1.0
19707,0.73844004,0.26155996,2.0,6.0,0.0,0.0,5.0,15.0,9.0
24135,0.2614142,0.2614142,7.0,2.0,1.0,1.0,0.0,1.0,
19467,0.2599058,0.2599058,9.0,2.0,1.0,1.0,3.0,4.0,
18757,0.74441916,0.25558084,6.0,8.0,0.0,0.0,,4.0,7.0
19242,0.7452774,0.2547226,0.0,7.0,0.0,0.0,7.0,5.0,7.0
20001,0.25070098,0.25070098,3.0,2.0,1.0,1.0,1.0,4.0,1.0
22340,0.7560727,0.2439273,0.0,3.0,0.0,,5.0,6.0,9.0
24118,0.2421637,0.24216372,7.0,0.0,1.0,1.0,0.0,1.0,
20667,0.76014686,0.23985314,0.0,8.0,0.0,0.0,7.0,5.0,7.0
21019,0.7603479,0.2396521,1.0,9.0,0.0,0.0,7.0,13.0,8.0
20519,0.23837005,0.23837006,9.0,5.0,1.0,1.0,2.0,5.0,2.0
21497,0.23652396,0.23652396,5.0,2.0,1.0,1.0,3.0,0.0,1.0
22224,0.7674074,0.23259258,2.0,3.0,0.0,0.0,7.0,7.0,9.0
24640,0.7681246,0.23187542,,7.0,0.0,0.0,5.0,12.0,
22559,0.23071624,0.23071623,,1.0,1.0,1.0,5.0,5.0,5.0
21868,0.7725018,0.22749817,0.0,6.0,0.0,0.0,6.0,3.0,7.0
21482,0.7764893,0.22351068,0.0,8.0,0.0,,5.0,5.0,7.0
