id,adv_prob,Personality
0,0.062452380952380954,Extrovert
1,0.055,Extrovert
2,0.15,Introvert
3,0.152,Extrovert
4,0.5353333333333333,Extrovert
5,0.2016630591630591,Extrovert
6,0.36244047619047615,Extrovert
7,0.06,Extrovert
8,0.15,Introvert
9,0.0,Extrovert
10,0.11,Extrovert
11,0.08333333333333331,Extrovert
12,0.37883333333333336,Extrovert
13,0.0,Extrovert
14,0.004166666666666667,Extrovert
15,0.05,Extrovert
16,0.04695238095238095,Extrovert
17,0.05,Introvert
18,0.5496904761904762,Extrovert
19,0.10733333333333334,Extrovert
20,0.1285714285714286,Extrovert
21,0.04,Introvert
22,0.05,Introvert
23,0.057,Extrovert
24,0.45282936507936505,Extrovert
25,0.32,Introvert
26,0.1,Extrovert
27,0.17,Introvert
28,0.4673333333333335,Extrovert
29,0.01,Introvert
30,0.12602380952380954,Extrovert
31,0.47211136086136074,Extrovert
32,0.02,Extrovert
33,0.036000000000000004,Extrovert
34,0.14,Introvert
35,0.02,Introvert
36,0.4367142857142856,Extrovert
37,0.12366666666666667,Extrovert
38,0.1,Extrovert
39,0.31617857142857136,Extrovert
40,0.07,Extrovert
41,0.024166666666666666,Extrovert
42,0.10133333333333334,Extrovert
43,0.0,Extrovert
44,0.08,Introvert
45,0.04016666666666666,Extrovert
46,0.0475,Extrovert
47,0.12050000000000001,Extrovert
48,0.24,Introvert
49,0.0,Extrovert
50,0.14,Introvert
51,0.09,Extrovert
52,0.14,Extrovert
53,0.01,Introvert
54,0.11,Introvert
55,0.14,Introvert
56,0.08,Extrovert
57,0.095,Extrovert
58,0.12,Introvert
59,0.02,Extrovert
60,0.05,Introvert
61,0.4883333333333333,Extrovert
62,0.4638333333333334,Extrovert
63,0.16,Extrovert
64,0.01,Introvert
65,0.07,Introvert
66,0.055,Extrovert
67,0.01,Extrovert
68,0.03666666666666667,Introvert
69,0.14,Introvert
70,0.03,Extrovert
71,0.5743095238095238,Extrovert
72,0.0,Extrovert
73,0.16166666666666668,Extrovert
74,0.09,Extrovert
75,0.09200000000000001,Extrovert
76,0.05,Introvert
77,0.14,Introvert
78,0.016666666666666666,Extrovert
79,0.028333333333333332,Extrovert
80,0.2690169552669552,Extrovert
81,0.09583333333333333,Extrovert
82,0.05,Extrovert
83,0.2023333333333333,Introvert
84,0.08,Extrovert
85,0.14783333333333334,Extrovert
86,0.10704761904761904,Extrovert
87,0.01,Introvert
88,0.23046031746031734,Extrovert
89,0.026666666666666665,Extrovert
90,0.5724404761904762,Extrovert
91,0.04,Extrovert
92,0.03,Introvert
93,0.6054761904761904,Extrovert
94,0.0375,Extrovert
95,0.07361111111111111,Extrovert
96,0.17,Introvert
97,0.1,Introvert
98,0.015,Extrovert
99,0.6485,Extrovert
100,0.03333333333333333,Extrovert
101,0.04066666666666666,Extrovert
102,0.11,Extrovert
103,0.139,Extrovert
104,0.3486904761904762,Extrovert
105,0.19,Introvert
106,0.0,Extrovert
107,0.0075,Extrovert
108,0.16,Extrovert
109,0.3260357142857142,Extrovert
110,0.016666666666666666,Extrovert
111,0.04,Extrovert
112,0.086,Extrovert
113,0.08,Extrovert
114,0.04,Introvert
115,0.27323809523809517,Extrovert
116,0.0125,Extrovert
117,0.045,Extrovert
118,0.051500000000000004,Extrovert
119,0.18600000000000003,Introvert
120,0.11158333333333333,Extrovert
121,0.17,Introvert
122,0.05,Introvert
123,0.02,Introvert
124,0.13,Introvert
125,0.08,Extrovert
126,0.09,Extrovert
127,0.003333333333333333,Extrovert
128,0.03666666666666667,Extrovert
129,0.5015119047619047,Extrovert
130,0.2,Introvert
131,0.12166666666666666,Extrovert
132,0.33038095238095233,Extrovert
133,0.01,Extrovert
134,0.264,Extrovert
135,0.025,Extrovert
136,0.03,Extrovert
137,0.13,Extrovert
138,0.35235714285714287,Extrovert
139,0.04,Extrovert
140,0.16,Extrovert
141,0.5116666666666666,Extrovert
142,0.03,Extrovert
143,0.21,Extrovert
144,0.03166666666666666,Extrovert
145,0.3375238095238094,Extrovert
146,0.007619047619047619,Extrovert
147,0.04,Introvert
148,0.06,Extrovert
149,0.10433333333333333,Introvert
150,0.05,Introvert
151,0.01,Introvert
152,0.11,Introvert
153,0.02,Extrovert
154,0.08,Extrovert
155,0.2535,Introvert
156,0.07,Introvert
157,0.4653333333333333,Extrovert
158,0.06,Introvert
159,0.1,Introvert
160,0.04,Extrovert
161,0.04666666666666667,Extrovert
162,0.09,Extrovert
163,0.13,Introvert
164,0.05,Extrovert
165,0.06,Introvert
166,0.07766666666666666,Extrovert
167,0.02011904761904762,Extrovert
168,0.07,Introvert
169,0.14,Introvert
170,0.3175238095238095,Extrovert
171,0.0115,Extrovert
172,0.01,Extrovert
173,0.02583333333333333,Extrovert
174,0.11,Extrovert
175,0.11666666666666665,Extrovert
176,0.2952301587301586,Extrovert
177,0.01875,Extrovert
178,0.0,Extrovert
179,0.075,Introvert
180,0.15,Introvert
181,0.0,Extrovert
182,0.05,Introvert
183,0.02,Extrovert
184,0.04666666666666667,Extrovert
185,0.3316507936507936,Extrovert
186,0.02,Extrovert
187,0.04,Introvert
188,0.09723809523809525,Extrovert
189,0.13,Introvert
190,0.03,Introvert
191,0.03333333333333333,Extrovert
192,0.08333333333333331,Extrovert
193,0.02083333333333333,Extrovert
194,0.03866666666666667,Extrovert
195,0.6166666666666667,Extrovert
196,0.03,Extrovert
197,0.115,Extrovert
198,0.0785,Extrovert
199,0.05249999999999999,Extrovert
200,0.009000000000000001,Extrovert
201,0.0,Extrovert
202,0.1235,Extrovert
203,0.17,Extrovert
204,0.076,Extrovert
205,0.02,Introvert
206,0.16400000000000003,Extrovert
207,0.03,Extrovert
208,0.04666666666666666,Extrovert
209,0.015,Extrovert
210,0.03,Introvert
211,0.16,Introvert
212,0.623357142857143,Extrovert
213,0.14,Introvert
214,0.12,Introvert
215,0.02,Extrovert
216,0.07,Introvert
217,0.02333333333333333,Extrovert
218,0.015,Extrovert
219,0.035,Extrovert
220,0.08,Introvert
221,0.4268333333333334,Extrovert
222,0.04,Extrovert
223,0.008333333333333333,Extrovert
224,0.469,Extrovert
225,0.012,Extrovert
226,0.09333333333333332,Extrovert
227,0.0,Extrovert
228,0.537297619047619,Extrovert
229,0.2197738095238095,Extrovert
230,0.01,Extrovert
231,0.20745382395382392,Extrovert
232,0.04,Introvert
233,0.3723095238095238,Extrovert
234,0.11,Introvert
235,0.08,Extrovert
236,0.0,Introvert
237,0.027999999999999997,Extrovert
238,0.08,Introvert
239,0.05,Introvert
240,0.6395238095238095,Extrovert
241,0.43433333333333346,Introvert
242,0.42466666666666675,Extrovert
243,0.17566666666666664,Extrovert
244,0.14666666666666667,Extrovert
245,0.045,Introvert
246,0.04958333333333333,Extrovert
247,0.0,Extrovert
248,0.1,Extrovert
249,0.13,Introvert
250,0.02333333333333333,Extrovert
251,0.06,Extrovert
252,0.22,Introvert
253,0.22333333333333336,Extrovert
254,0.25201190476190466,Extrovert
255,0.13583333333333333,Extrovert
256,0.01,Extrovert
257,0.5383888888888889,Extrovert
258,0.0,Extrovert
259,0.07,Introvert
260,0.15,Introvert
261,0.0425,Extrovert
262,0.12,Introvert
263,0.07,Introvert
264,0.18599999999999997,Extrovert
265,0.09,Introvert
266,0.08183333333333334,Extrovert
267,0.07,Introvert
268,0.02,Introvert
269,0.2267341269841269,Extrovert
270,0.07833333333333332,Extrovert
271,0.1,Introvert
272,0.1125,Introvert
273,0.15,Extrovert
274,0.41240476190476194,Extrovert
275,0.0575,Extrovert
276,0.16,Introvert
277,0.1,Introvert
278,0.05,Extrovert
279,0.12,Introvert
280,0.16,Extrovert
281,0.46307575757575764,Extrovert
282,0.0,Extrovert
283,0.17,Introvert
284,0.19,Introvert
285,0.06666666666666667,Introvert
286,0.061000000000000006,Extrovert
287,0.16916666666666663,Extrovert
288,0.09,Introvert
289,0.04,Introvert
290,0.5193333333333334,Extrovert
291,0.02119047619047619,Extrovert
292,0.013333333333333332,Extrovert
293,0.15,Introvert
294,0.11,Introvert
295,0.07,Introvert
296,0.135,Extrovert
297,0.06,Extrovert
298,0.08,Extrovert
299,0.19833333333333336,Extrovert
300,0.4883095238095238,Extrovert
301,0.15,Extrovert
302,0.2568095238095237,Extrovert
303,0.021666666666666664,Extrovert
304,0.17,Introvert
305,0.010190476190476189,Extrovert
306,0.03,Extrovert
307,0.039999999999999994,Introvert
308,0.1020238095238095,Extrovert
309,0.12,Introvert
310,0.11,Extrovert
311,0.06166666666666666,Extrovert
312,0.05,Introvert
313,0.13,Introvert
314,0.25,Extrovert
315,0.48866666666666675,Extrovert
316,0.03,Extrovert
317,0.11,Introvert
318,0.01,Extrovert
319,0.12933333333333333,Introvert
320,0.11,Introvert
321,0.16,Introvert
322,0.03,Introvert
323,0.16,Introvert
324,0.16,Extrovert
325,0.129,Extrovert
326,0.07,Extrovert
327,0.05333333333333334,Extrovert
328,0.3507619047619046,Extrovert
329,0.008,Extrovert
330,0.07,Introvert
331,0.07,Extrovert
332,0.03785714285714285,Extrovert
333,0.03,Extrovert
334,0.44308730158730164,Extrovert
335,0.02,Extrovert
336,0.0075,Extrovert
337,0.035666666666666666,Extrovert
338,0.2886904761904761,Introvert
339,0.0225,Extrovert
340,0.3193809523809523,Extrovert
341,0.1381666666666667,Extrovert
342,0.42285714285714293,Extrovert
343,0.03166666666666666,Extrovert
344,0.28044841269841264,Extrovert
345,0.0,Extrovert
346,0.03,Introvert
347,0.5311190476190476,Extrovert
348,0.06535714285714285,Extrovert
349,0.028666666666666667,Extrovert
350,0.24007936507936506,Extrovert
351,0.02,Extrovert
352,0.07,Extrovert
353,0.04466666666666667,Extrovert
354,0.008888888888888889,Extrovert
355,0.6264523809523808,Extrovert
356,0.056666666666666664,Extrovert
357,0.11333333333333334,Extrovert
358,0.05,Extrovert
359,0.03333333333333333,Extrovert
360,0.1,Introvert
361,0.11,Extrovert
362,0.07566666666666667,Extrovert
363,0.17,Introvert
364,0.19,Extrovert
365,0.0,Extrovert
366,0.47374999999999995,Extrovert
367,0.006666666666666666,Extrovert
368,0.32,Introvert
369,0.0,Extrovert
370,0.05,Introvert
371,0.13,Extrovert
372,0.09,Introvert
373,0.195,Introvert
374,0.05,Extrovert
375,0.02,Introvert
376,0.09,Extrovert
377,0.4209999999999999,Extrovert
378,0.0125,Extrovert
379,0.03683333333333333,Extrovert
380,0.07,Introvert
381,0.05,Extrovert
382,0.11,Extrovert
383,0.0535,Extrovert
384,0.2925,Introvert
385,0.0,Extrovert
386,0.08,Introvert
387,0.18461111111111111,Extrovert
388,0.13499999999999998,Introvert
389,0.05125,Extrovert
390,0.01,Extrovert
391,0.04,Extrovert
392,0.05,Introvert
393,0.005,Extrovert
394,0.01,Extrovert
395,0.0,Extrovert
396,0.17,Introvert
397,0.301,Extrovert
398,0.3,Extrovert
399,0.0105,Extrovert
