id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,adv_prob
0,0.0,No,6.0,4.0,No,15.0,5.0,Extrovert,0.062452380952380954
1,1.0,No,7.0,3.0,No,10.0,8.0,Extrovert,0.055
2,6.0,Yes,1.0,0.0,,3.0,0.0,Introvert,0.15
3,3.0,No,7.0,3.0,No,11.0,5.0,Extrovert,0.152
4,1.0,No,4.0,4.0,No,13.0,,Extrovert,0.5353333333333333
5,2.0,No,8.0,5.0,No,,3.0,Extrovert,0.2016630591630591
6,1.0,No,8.0,,No,,4.0,Extrovert,0.36244047619047615
7,2.0,No,8.0,3.0,No,4.0,5.0,Extrovert,0.06
8,4.0,Yes,2.0,1.0,,0.0,2.0,Introvert,0.15
9,1.0,No,8.0,6.0,No,14.0,9.0,Extrovert,0.0
10,3.0,No,7.0,4.0,No,5.0,10.0,Extrovert,0.11
11,2.0,No,6.0,3.0,No,4.0,8.0,Extrovert,0.08333333333333331
12,3.0,No,5.0,4.0,No,9.0,6.0,Extrovert,0.37883333333333336
13,3.0,,,5.0,No,12.0,5.0,Extrovert,0.0
14,3.0,No,6.0,4.0,No,9.0,,Extrovert,0.004166666666666667
15,,No,7.0,6.0,No,5.0,8.0,Extrovert,0.05
16,0.0,No,6.0,4.0,No,8.0,10.0,Extrovert,0.04695238095238095
17,5.0,,0.0,4.0,Yes,2.0,0.0,Introvert,0.05
18,1.0,No,4.0,4.0,No,11.0,9.0,Extrovert,0.5496904761904762
19,1.0,No,,5.0,No,10.0,3.0,Extrovert,0.10733333333333334
20,1.0,No,9.0,3.0,No,10.0,7.0,Extrovert,0.1285714285714286
21,6.0,Yes,3.0,2.0,Yes,1.0,3.0,Introvert,0.04
22,4.0,,0.0,1.0,Yes,2.0,0.0,Introvert,0.05
23,3.0,No,9.0,7.0,No,6.0,3.0,Extrovert,0.057
24,1.0,No,5.0,3.0,No,12.0,5.0,Extrovert,0.45282936507936505
25,9.0,Yes,1.0,3.0,Yes,7.0,5.0,Introvert,0.32
26,3.0,,6.0,5.0,No,10.0,9.0,Extrovert,0.1
27,9.0,,0.0,0.0,Yes,1.0,1.0,Introvert,0.17
28,2.0,No,,4.0,No,5.0,8.0,Extrovert,0.4673333333333335
29,,Yes,1.0,0.0,Yes,4.0,0.0,Introvert,0.01
30,3.0,No,9.0,0.0,No,8.0,5.0,Extrovert,0.12602380952380954
31,,No,4.0,,No,11.0,5.0,Extrovert,0.47211136086136074
32,1.0,No,9.0,5.0,No,4.0,8.0,Extrovert,0.02
33,2.0,No,7.0,5.0,No,11.0,9.0,Extrovert,0.036000000000000004
34,5.0,Yes,1.0,0.0,,3.0,2.0,Introvert,0.14
35,6.0,Yes,2.0,3.0,Yes,1.0,3.0,Introvert,0.02
36,3.0,No,6.0,3.0,No,7.0,,Extrovert,0.4367142857142856
37,2.0,No,7.0,4.0,No,5.0,3.0,Extrovert,0.12366666666666667
38,2.0,No,8.0,3.0,No,13.0,6.0,Extrovert,0.1
39,0.0,No,5.0,4.0,No,11.0,4.0,Extrovert,0.31617857142857136
40,0.0,No,8.0,3.0,No,10.0,4.0,Extrovert,0.07
41,,No,6.0,5.0,No,14.0,3.0,Extrovert,0.024166666666666666
42,2.0,No,6.0,6.0,No,5.0,6.0,Extrovert,0.10133333333333334
43,0.0,No,9.0,4.0,,11.0,5.0,Extrovert,0.0
44,9.0,Yes,1.0,0.0,Yes,3.0,0.0,Introvert,0.08
45,2.0,No,6.0,,No,11.0,4.0,Extrovert,0.04016666666666666
46,2.0,No,7.0,3.0,No,12.0,6.0,Extrovert,0.0475
47,0.0,No,4.0,7.0,No,14.0,3.0,Extrovert,0.12050000000000001
48,10.0,Yes,1.0,,Yes,5.0,1.0,Introvert,0.24
49,2.0,No,9.0,7.0,No,6.0,4.0,Extrovert,0.0
50,7.0,Yes,,2.0,Yes,5.0,2.0,Introvert,0.14
51,0.0,No,3.0,6.0,No,5.0,8.0,Extrovert,0.09
52,0.0,No,7.0,6.0,No,7.0,3.0,Extrovert,0.14
53,6.0,Yes,3.0,3.0,Yes,5.0,0.0,Introvert,0.01
54,4.0,Yes,3.0,1.0,Yes,,1.0,Introvert,0.11
55,9.0,Yes,0.0,,Yes,2.0,1.0,Introvert,0.14
56,3.0,No,9.0,7.0,No,12.0,3.0,Extrovert,0.08
57,4.0,No,6.0,3.0,No,8.0,7.0,Extrovert,0.095
58,8.0,Yes,0.0,2.0,Yes,5.0,,Introvert,0.12
59,2.0,,8.0,6.0,No,14.0,9.0,Extrovert,0.02
60,9.0,Yes,4.0,0.0,Yes,2.0,0.0,Introvert,0.05
61,0.0,No,9.0,3.0,No,4.0,5.0,Extrovert,0.4883333333333333
62,,No,6.0,6.0,No,13.0,4.0,Extrovert,0.4638333333333334
63,8.0,Yes,4.0,2.0,Yes,,0.0,Introvert,0.16
64,9.0,,2.0,2.0,Yes,1.0,0.0,Introvert,0.01
65,4.0,,0.0,2.0,Yes,0.0,2.0,Introvert,0.07
66,5.0,No,8.0,4.0,No,8.0,10.0,Extrovert,0.055
67,3.0,No,,7.0,No,6.0,9.0,Extrovert,0.01
68,7.0,Yes,0.0,2.0,,3.0,0.0,Introvert,0.03666666666666667
