id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
1,1.0,No,7.0,3.0,No,10.0,8.0,Extrovert
3,3.0,No,7.0,3.0,No,11.0,5.0,Extrovert
5,2.0,No,8.0,5.0,No,,3.0,Extrovert
6,1.0,No,8.0,,No,,4.0,Extrovert
8,4.0,Yes,2.0,1.0,,0.0,2.0,Introvert
9,1.0,No,8.0,6.0,No,14.0,9.0,Extrovert
10,3.0,No,7.0,4.0,No,5.0,10.0,Extrovert
11,2.0,No,6.0,3.0,No,4.0,8.0,Extrovert
12,3.0,No,5.0,4.0,No,9.0,6.0,Extrovert
14,3.0,No,6.0,4.0,No,9.0,,Extrovert
15,,No,7.0,6.0,No,5.0,8.0,Extrovert
16,0.0,No,6.0,4.0,No,8.0,10.0,Extrovert
18,1.0,No,4.0,4.0,No,11.0,9.0,Extrovert
19,1.0,No,,5.0,No,10.0,3.0,Extrovert
20,1.0,No,9.0,3.0,No,10.0,7.0,Extrovert
21,6.0,Yes,3.0,2.0,Yes,1.0,3.0,Introvert
22,4.0,,0.0,1.0,Yes,2.0,0.0,Introvert
23,3.0,No,9.0,7.0,No,6.0,3.0,Extrovert
24,1.0,No,5.0,3.0,No,12.0,5.0,Extrovert
25,9.0,Yes,1.0,3.0,Yes,7.0,5.0,Introvert
26,3.0,,6.0,5.0,No,10.0,9.0,Extrovert
27,9.0,,0.0,0.0,Yes,1.0,1.0,Introvert
29,,Yes,1.0,0.0,Yes,4.0,0.0,Introvert
30,3.0,No,9.0,0.0,No,8.0,5.0,Extrovert
31,,No,4.0,,No,11.0,5.0,Extrovert
32,1.0,No,9.0,5.0,No,4.0,8.0,Extrovert
34,5.0,Yes,1.0,0.0,,3.0,2.0,Introvert
35,6.0,Yes,2.0,3.0,Yes,1.0,3.0,Introvert
36,3.0,No,6.0,3.0,No,7.0,,Extrovert
37,2.0,No,7.0,4.0,No,5.0,3.0,Extrovert
38,2.0,No,8.0,3.0,No,13.0,6.0,Extrovert
39,0.0,No,5.0,4.0,No,11.0,4.0,Extrovert
40,0.0,No,8.0,3.0,No,10.0,4.0,Extrovert
