id,prediction,extrovert_proba,uncertainty
18524,Introvert,0.0,0.0
18525,Extrovert,0.99999917,1.66893e-06
18526,Introvert,0.050000004,0.100000024
18527,Introvert,0.0,0.0
18528,Extrovert,0.99999917,1.66893e-06
18529,Introvert,0.0,0.0
18530,Introvert,0.0033333334,0.0066666603
18531,Extrovert,0.98666584,0.02666831
18532,Introvert,0.0,0.0
18533,Extrovert,0.99666584,0.0066683292
18534,Introvert,0.0,0.0
18535,Introvert,0.023333335,0.04666668
18536,Extrovert,0.99999917,1.66893e-06
18537,Introvert,0.0033333334,0.0066666603
18538,Extrovert,0.9833325,0.03333497
18539,Introvert,0.0,0.0
18540,Introvert,0.0,0.0
18541,Introvert,0.013333334,0.026666641
18542,Extrovert,0.9399992,0.120001554
18543,Introvert,0.01,0.01999998
18544,Extrovert,0.9933325,0.01333499
18545,Extrovert,0.99999917,1.66893e-06
18546,Introvert,0.0033333334,0.0066666603
18547,Extrovert,0.97666585,0.04666829
18548,Introvert,0.0,0.0
18549,Introvert,0.0,0.0
18550,Introvert,0.0,0.0
18551,Introvert,0.0,0.0
18552,Extrovert,0.99999917,1.66893e-06
18553,Extrovert,0.99666584,0.0066683292
18554,Introvert,0.0033333334,0.0066666603
18555,Introvert,0.01,0.01999998
18556,Extrovert,0.99999917,1.66893e-06
18557,Introvert,0.0,0.0
18558,Introvert,0.0,0.0
18559,Introvert,0.0,0.0
18560,Introvert,0.0033333334,0.0066666603
18561,Introvert,0.006666667,0.013333321
18562,Introvert,0.0,0.0
18563,Introvert,0.0,0.0
18564,Extrovert,0.99999917,1.66893e-06
18565,Extrovert,0.9933325,0.01333499
18566,Extrovert,0.9733325,0.05333495
18567,Extrovert,0.9499992,0.10000157
18568,Introvert,0.0,0.0
18569,Extrovert,0.99999917,1.66893e-06
18570,Introvert,0.0,0.0
18571,Extrovert,0.99666584,0.0066683292
18572,Introvert,0.0,0.0
18573,Introvert,0.0,0.0
18574,Extrovert,0.99999917,1.66893e-06
18575,Introvert,0.0,0.0
18576,Introvert,0.0,0.0
18577,Introvert,0.0,0.0
18578,Introvert,0.0,0.0
18579,Introvert,0.013333334,0.026666641
18580,Introvert,0.0,0.0
